System,Metric,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Theta 2021,Wait_Time_hours,WFP,RLScheduler,RLScheduler,lower_is_better,34167,8.5489,12.6253,22.3297,58.2345,-147.66,-31.55,13.18,-131.10
Theta 2021,Wait_Time_hours,WFP,Random,Random,lower_is_better,24267,0.3975,1.7589,6.4426,23.6642,88.48,81.67,74.95,6.09
Theta 2021,Wait_Time_hours,WFP,WFP,WFP,lower_is_better,31231,3.4518,9.5972,25.7188,25.1990,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,WFP,MARS-CW,MARS-CW,lower_is_better,23051,0.1890,0.9361,4.8956,55.0464,94.52,90.25,80.97,-118.45
Theta 2021,Wait_Time_hours,WFP,MARS-CU,MARS-CU,lower_is_better,26647,0.6114,2.6669,9.5753,18.3110,82.29,72.21,62.77,27.33
Theta 2021,Wait_Time_hours,WFP,FCFS,FCFS,lower_is_better,30195,5.3493,24.1189,62.6137,42.7997,-54.97,-151.31,-143.46,-69.85
Theta 2021,Wait_Time_hours,WFP,SJF,SJF,lower_is_better,23796,0.3556,1.2640,4.2649,29.1336,89.70,86.83,83.42,-15.61
Theta 2021,Wait_Time_hours,WFP,F1,F1,lower_is_better,21800,0.2997,1.1113,4.2314,29.7197,91.32,88.42,83.55,-17.94
Polaris 2024,Wait_Time_hours,WFP,RLScheduler,RLScheduler,lower_is_better,41932,1.5605,4.0247,9.0442,10.9667,-11.07,18.44,43.94,23.81
Polaris 2024,Wait_Time_hours,WFP,Random,Random,lower_is_better,33596,0.5627,2.0508,6.2173,10.1752,59.95,58.44,61.46,29.31
Polaris 2024,Wait_Time_hours,WFP,WFP,WFP,lower_is_better,38196,1.4049,4.9349,16.1328,14.3946,0.00,0.00,0.00,0.00
Polaris 2024,Wait_Time_hours,WFP,MARS-CW,MARS-CW,lower_is_better,32869,0.3367,1.4950,6.0211,14.0635,76.04,69.71,62.68,2.30
Polaris 2024,Wait_Time_hours,WFP,MARS-CU,MARS-CU,lower_is_better,35684,0.6297,2.5679,7.5467,10.2643,55.18,47.96,53.22,28.69
Polaris 2024,Wait_Time_hours,WFP,FCFS,FCFS,lower_is_better,39299,2.1553,8.5289,24.5558,20.0811,-53.41,-72.83,-52.21,-39.50
Polaris 2024,Wait_Time_hours,WFP,SJF,SJF,lower_is_better,33527,0.5581,2.0528,6.4168,10.9988,60.28,58.40,60.23,23.59
Polaris 2024,Wait_Time_hours,WFP,F1,F1,lower_is_better,31351,0.4685,1.8114,5.2681,9.1636,66.66,63.29,67.35,36.34
Theta 2021,Bounded_Slowdown,WFP,Random,Random,lower_is_better,24267,1.4791,3.0753,11.9306,200.4336,72.34,74.92,70.14,-11.44
Theta 2021,Bounded_Slowdown,WFP,WFP,WFP,lower_is_better,31231,5.3480,12.2634,39.9608,179.8579,0.00,0.00,0.00,0.00
Theta 2021,Bounded_Slowdown,WFP,MARS-CW,MARS-CW,lower_is_better,23051,1.2422,2.3338,8.3715,349.6278,76.77,80.97,79.05,-94.39
Theta 2021,Bounded_Slowdown,WFP,MARS-CU,MARS-CU,lower_is_better,26647,1.7536,4.1488,16.8766,134.0025,67.21,66.17,57.77,25.50
Theta 2021,Bounded_Slowdown,WFP,FCFS,FCFS,lower_is_better,30195,7.3816,24.2134,89.5271,335.4704,-38.03,-97.45,-124.04,-86.52
Theta 2021,Bounded_Slowdown,WFP,SJF,SJF,lower_is_better,23796,1.4905,2.5125,6.8948,212.2211,72.13,79.51,82.75,-17.99
Theta 2021,Bounded_Slowdown,WFP,F1,F1,lower_is_better,21800,1.3577,2.3882,7.1238,207.2348,74.61,80.53,82.17,-15.22
Polaris 2024,Bounded_Slowdown,WFP,Random,Random,lower_is_better,33596,2.1582,6.5131,44.3529,489.8163,44.01,52.41,63.63,46.89
Polaris 2024,Bounded_Slowdown,WFP,WFP,WFP,lower_is_better,38196,3.8549,13.6853,121.9652,922.2745,0.00,0.00,0.00,0.00
Polaris 2024,Bounded_Slowdown,WFP,MARS-CW,MARS-CW,lower_is_better,32869,1.9833,5.8925,33.9870,734.2891,48.55,56.94,72.13,20.38
Polaris 2024,Bounded_Slowdown,WFP,MARS-CU,MARS-CU,lower_is_better,35684,2.5562,8.0504,46.3619,455.8594,33.69,41.18,61.99,50.57
Polaris 2024,Bounded_Slowdown,WFP,FCFS,FCFS,lower_is_better,39299,5.2414,23.4247,259.3440,1166.0908,-35.97,-71.17,-112.64,-26.44
Polaris 2024,Bounded_Slowdown,WFP,SJF,SJF,lower_is_better,33527,2.1783,6.0899,32.0809,1069.8876,43.49,55.50,73.70,-16.01
Polaris 2024,Bounded_Slowdown,WFP,F1,F1,lower_is_better,31351,2.0574,5.4859,24.4991,531.7777,46.63,59.91,79.91,42.34
Theta 2021,Uptime_Utilization_pct,WFP,RLScheduler,RLScheduler,higher_is_better,1,77.9455,77.9455,77.9455,77.9455,-13.75,-15.49,-16.65,-12.87
Theta 2021,Uptime_Utilization_pct,WFP,Random,Random,higher_is_better,22,85.7820,89.0649,90.9017,86.2223,-5.08,-3.44,-2.79,-3.62
Theta 2021,Uptime_Utilization_pct,WFP,WFP,WFP,higher_is_better,22,90.3751,92.2337,93.5116,89.4612,0.00,0.00,0.00,0.00
Theta 2021,Uptime_Utilization_pct,WFP,MARS-CW,MARS-CW,higher_is_better,22,79.6932,81.4047,83.0427,79.5796,-11.82,-11.74,-11.20,-11.05
Theta 2021,Uptime_Utilization_pct,WFP,MARS-CU,MARS-CU,higher_is_better,22,88.8901,92.6242,94.1943,89.6432,-1.64,0.42,0.73,0.20
