System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,1.4833,535.9333,787.3833,1387.3500,1914.6000,3996.3467,10998.5113,101179.9167,1399.0469,2688.5185,861.6021
Theta 2021,Random,0.0167,28.7333,112.3083,321.0583,524.3550,963.7708,1554.6707,3680.5833,246.4703,341.6015,83.3192
Theta 2021,WFP,0.0333,290.7833,742.0000,2026.8333,3230.7533,6208.8100,9810.6047,13731.7833,1574.5352,2072.4061,654.2736
Theta 2021,MARS-CW,0.0167,11.9167,56.3000,265.5083,504.8917,1200.2000,2386.8550,12719.4667,261.5973,605.0958,47.5857
Theta 2021,MARS-CU,0.0167,46.7500,191.4167,562.5000,858.3833,1786.1300,2850.4780,6308.3500,435.6704,635.4557,137.1619
Theta 2021,FCFS,0.0167,443.9125,1971.8417,4198.7833,5928.2017,8994.1742,12112.4672,15504.6500,2830.5613,2927.7882,1120.5079
Theta 2021,SJF,0.0167,25.2500,83.7833,241.1167,404.2217,715.9567,1230.0683,3680.5833,189.6717,266.3835,65.8528
Theta 2021,F1,0.0167,21.5500,83.9167,224.5000,354.0667,643.7333,1110.6100,3680.5833,173.4115,238.0738,61.8776
Polaris 2024,RLScheduler,0.0167,147.2500,308.3500,587.4000,796.4350,1381.9875,2131.4168,2822.8167,450.0582,449.9980,257.4061
Polaris 2024,Random,0.0167,49.5500,149.1333,353.0000,497.0067,884.3233,1402.8500,5443.9500,253.1581,306.1871,111.8440
Polaris 2024,WFP,0.0167,136.4000,488.3000,1383.3333,2024.2067,3253.7350,5288.7510,5942.9333,940.7051,1117.6583,370.7702
Polaris 2024,MARS-CW,0.0167,25.2708,117.3083,374.3833,606.7500,1193.7392,2040.1413,5443.9500,293.4210,443.3098,82.9588
Polaris 2024,MARS-CU,0.0167,58.8583,178.4500,435.7417,671.7658,1218.3192,1712.4157,5443.9500,322.4565,396.5754,130.0221
Polaris 2024,FCFS,0.0167,186.8250,682.1750,1992.7000,3040.1083,4283.0017,6085.6793,7050.6167,1294.8209,1457.5443,516.8682
Polaris 2024,SJF,0.0167,52.3167,158.7333,407.9167,639.6467,1360.4100,2071.8633,5443.9500,328.6908,446.5990,126.5097
Polaris 2024,F1,0.0167,41.0000,125.4333,287.8292,432.2458,742.1333,1062.7075,5443.9500,212.2888,262.2948,89.6934
