System,Driver,Min,P25,P50,P75,P85,P95,P99,Max,Mean,StdDev,GeometricMean
Theta 2021,RLScheduler,47.1333,2437.9000,8733.7333,52212.8833,115838.4833,179546.9400,245473.4440,348157.4333,40759.2532,62177.9155,10616.8058
Theta 2021,Random,0.1500,907.5458,3714.8500,17109.6708,38199.1750,132538.5083,252440.6500,403275.6833,23626.1079,51833.2099,3517.0868
Theta 2021,WFP,23.8000,1063.0333,2960.2167,7563.8750,11312.3642,16929.3700,25836.2072,37137.0833,5299.1571,5836.0488,2632.2639
Theta 2021,MARS-CW,0.2000,471.8042,1997.0000,14960.3667,91293.4033,449683.0525,597086.1612,614354.2333,58163.6900,138400.2424,2688.5745
Theta 2021,MARS-CU,0.6667,1250.0333,4389.3167,13329.6708,23047.8683,76983.0633,175946.6422,199093.2500,15262.7832,30923.1600,3651.3434
Theta 2021,FCFS,1.0333,2715.9500,5745.5333,9891.5250,11716.8183,16007.5800,20872.0850,22812.8833,6645.8706,4933.5497,4175.4192
Theta 2021,SJF,0.6000,448.4125,1053.4667,16792.3958,85185.6400,129120.6067,355273.2623,404008.5667,29070.8900,62554.0561,2251.6695
Theta 2021,F1,4.6333,909.1083,3339.0333,19410.6042,51353.5300,141662.2267,419833.8045,487820.5333,29768.6283,72505.5155,3898.1687
Polaris 2024,RLScheduler,6.3333,368.2375,915.2750,2489.5750,5235.9792,23481.9883,104758.4842,164266.0833,5280.5294,17080.3906,1067.0714
Polaris 2024,Random,0.4167,666.6958,2517.6333,9009.1583,13570.5900,22905.8550,34395.8508,56994.1667,6179.1909,8183.4307,2016.3751
Polaris 2024,WFP,0.5833,346.6500,781.3333,2114.8000,3639.3533,9059.9900,17067.2607,29396.2167,2079.2310,3496.5903,790.3060
Polaris 2024,MARS-CW,0.3500,349.0542,1075.2083,4611.1542,12265.6417,37200.1683,86866.2772,155081.3167,6920.0194,16957.1446,1118.4098
Polaris 2024,MARS-CU,0.8667,612.3833,2337.0500,8135.7833,12398.0100,18626.6567,27643.7087,35879.0333,5149.0889,6355.0890,1714.0685
Polaris 2024,FCFS,0.3500,672.9875,2070.9833,4979.8750,5816.7425,11052.2925,16062.7313,25638.9333,3214.2687,3577.8091,1492.1733
Polaris 2024,SJF,0.2000,195.5625,567.9750,2488.9500,6393.7550,22279.2267,36150.4753,73702.5167,3723.6809,8239.5508,681.4352
Polaris 2024,F1,0.8667,556.2000,1786.0000,6517.5583,10959.5633,30491.6517,54454.3167,78776.1833,6053.4196,10626.0217,1680.2988
