iteration,policy,sequence_start_idx,sequence_len,job_id,submit_time,scheduled_time,request_time,run_time,request_procs,wait_time,turnaround_time,slowdown,bounded_slowdown,cpu_time,utilization_contrib,sequence_total_cpu_hour
0,RL,0,45746,0,1704090762.0,1704090762.0,3600.0,3600.0,24,0.0,3600.0,1.0,1.0,86400.0,5.455353601811294e-06,15837653488.0
0,RL,0,45746,1,1704095617.0,1704095617.0,7200.0,304.0,24,0.0,304.0,1.0,1.0,7296.0,4.606743041529537e-07,15837653488.0
0,RL,0,45746,2,1704128263.0,1704128263.0,86400.0,86400.0,200,0.0,86400.0,1.0,1.0,17280000.0,0.0010910707203622587,15837653488.0
0,RL,0,45746,3,1704128306.0,1704128306.0,86400.0,86400.0,200,0.0,86400.0,1.0,1.0,17280000.0,0.0010910707203622587,15837653488.0
0,RL,0,45746,4,1704129538.0,1704129538.0,21600.0,17189.0,32,0.0,17189.0,1.0,1.0,550048.0,3.47303974301979e-05,15837653488.0
0,RL,0,45746,5,1704133118.0,1704133118.0,7200.0,178.0,24,0.0,178.0,1.0,1.0,4272.0,2.6973692808955844e-07,15837653488.0
0,RL,0,45746,6,1704133120.0,1704133120.0,7200.0,176.0,24,0.0,176.0,1.0,1.0,4224.0,2.6670617608855214e-07,15837653488.0
0,RL,0,45746,7,1704133122.0,1704133296.0,7200.0,57.0,24,174.0,231.0,4.052631578947368,4.052631578947368,1368.0,8.637643202867881e-08,15837653488.0
0,RL,0,45746,8,1704133124.0,1704133296.0,7200.0,50.0,24,172.0,222.0,4.44,4.44,1200.0,7.576880002515686e-08,15837653488.0
0,RL,0,45746,9,1704134309.0,1704134309.0,3600.0,120.0,10,0.0,120.0,1.0,1.0,1200.0,7.576880002515686e-08,15837653488.0
0,RL,0,45746,10,1704134455.0,1704134455.0,10800.0,10.0,10,0.0,10.0,1.0,1.0,100.0,6.314066668763072e-09,15837653488.0
0,RL,0,45746,12,1704141013.0,1704141013.0,10800.0,10541.0,16,0.0,10541.0,1.0,1.0,168656.0,1.0649052280869046e-05,15837653488.0
0,RL,0,45746,13,1704141413.0,1704214663.0,15300.0,15300.0,100,73250.0,88550.0,5.787581699346405,5.787581699346405,1530000.0,9.6605220032075e-05,15837653488.0
0,RL,0,45746,14,1704141428.0,1704214864.0,15300.0,15300.0,100,73436.0,88736.0,5.799738562091504,5.799738562091504,1530000.0,9.6605220032075e-05,15837653488.0
0,RL,0,45746,15,1704144853.0,1704214663.0,7200.0,7200.0,24,69810.0,77010.0,10.695833333333333,10.695833333333333,172800.0,1.0910707203622588e-05,15837653488.0
0,RL,0,45746,16,1704144856.0,1704214663.0,7200.0,189.0,24,69807.0,69996.0,370.3492063492063,370.3492063492063,4536.0,2.8640606409509295e-07,15837653488.0
0,RL,0,45746,17,1704144858.0,1704214663.0,7200.0,142.0,24,69805.0,69947.0,492.5845070422535,492.5845070422535,3408.0,2.1518339207144548e-07,15837653488.0
0,RL,0,45746,18,1704144861.0,1704214663.0,7200.0,172.0,24,69802.0,69974.0,406.8255813953488,406.8255813953488,4128.0,2.606446720865396e-07,15837653488.0
0,RL,0,45746,19,1704144863.0,1704214663.0,7200.0,159.0,24,69800.0,69959.0,439.9937106918239,439.9937106918239,3816.0,2.409447840799988e-07,15837653488.0
0,RL,0,45746,20,1704144865.0,1704214663.0,7200.0,169.0,24,69798.0,69967.0,414.0059171597633,414.0059171597633,4056.0,2.560985440850302e-07,15837653488.0
0,RL,0,45746,21,1704144867.0,1704214706.0,7200.0,143.0,24,69839.0,69982.0,489.38461538461536,489.38461538461536,3432.0,2.1669876807194863e-07,15837653488.0
0,RL,0,45746,22,1704144869.0,1704214663.0,7200.0,189.0,24,69794.0,69983.0,370.2804232804233,370.2804232804233,4536.0,2.8640606409509295e-07,15837653488.0
0,RL,0,45746,23,1704144872.0,1704214663.0,7200.0,158.0,24,69791.0,69949.0,442.7151898734177,442.7151898734177,3792.0,2.394294080794957e-07,15837653488.0
0,RL,0,45746,24,1704144874.0,1704214706.0,7200.0,158.0,24,69832.0,69990.0,442.9746835443038,442.9746835443038,3792.0,2.394294080794957e-07,15837653488.0
0,RL,0,45746,25,1704146209.0,1704214822.0,10800.0,10800.0,12,68613.0,79413.0,7.353055555555556,7.353055555555556,129600.0,8.18303040271694e-06,15837653488.0
0,RL,0,45746,26,1704152125.0,1704214706.0,10800.0,2066.0,16,62581.0,64647.0,31.290900290416264,31.290900290416264,33056.0,2.087177878026321e-06,15837653488.0
0,RL,0,45746,27,1704157908.0,1704214832.0,10800.0,3196.0,12,56924.0,60120.0,18.811013767209012,18.811013767209012,38352.0,2.4215708488040134e-06,15837653488.0
0,RL,0,45746,28,1704157910.0,1704214821.0,10800.0,3197.0,12,56911.0,60108.0,18.80137629027213,18.80137629027213,38364.0,2.422328536804265e-06,15837653488.0
0,RL,0,45746,29,1704160544.0,1704214706.0,7200.0,140.0,25,54162.0,54302.0,387.87142857142857,387.87142857142857,3500.0,2.209923334067075e-07,15837653488.0
0,RL,0,45746,30,1704160551.0,1704214706.0,7200.0,151.0,25,54155.0,54306.0,359.6423841059603,359.6423841059603,3775.0,2.3835601674580594e-07,15837653488.0
0,RL,0,45746,31,1704160553.0,1704214706.0,7200.0,175.0,25,54153.0,54328.0,310.4457142857143,310.4457142857143,4375.0,2.762404167583844e-07,15837653488.0
0,RL,0,45746,32,1704160555.0,1704214805.0,7200.0,180.0,25,54250.0,54430.0,302.3888888888889,302.3888888888889,4500.0,2.841330000943382e-07,15837653488.0
0,RL,0,45746,33,1704160557.0,1704214706.0,7200.0,173.0,25,54149.0,54322.0,314.0,314.0,4325.0,2.7308338342400283e-07,15837653488.0
0,RL,0,45746,34,1704160560.0,1704214706.0,7200.0,234.0,25,54146.0,54380.0,232.39316239316238,232.39316239316238,5850.0,3.693729001226397e-07,15837653488.0
0,RL,0,45746,35,1704179166.0,1704214846.0,10800.0,10800.0,12,35680.0,46480.0,4.303703703703704,4.303703703703704,129600.0,8.18303040271694e-06,15837653488.0
0,RL,0,45746,36,1704179633.0,1704214821.0,10800.0,10800.0,10,35188.0,45988.0,4.258148148148148,4.258148148148148,108000.0,6.819192002264117e-06,15837653488.0
0,RL,0,45746,37,1704180683.0,1704214832.0,10800.0,10800.0,10,34149.0,44949.0,4.161944444444444,4.161944444444444,108000.0,6.819192002264117e-06,15837653488.0
0,RL,0,45746,38,1704182166.0,1704214822.0,10800.0,8166.0,10,32656.0,40822.0,4.999020328190056,4.999020328190056,81660.0,5.156066841711924e-06,15837653488.0
0,RL,0,45746,39,1704182658.0,1704214846.0,10800.0,10800.0,40,32188.0,42988.0,3.9803703703703706,3.9803703703703706,432000.0,2.7276768009056468e-05,15837653488.0
0,RL,0,45746,40,1704186055.0,1704214821.0,10800.0,2064.0,16,28766.0,30830.0,14.937015503875969,14.937015503875969,33024.0,2.085157376692317e-06,15837653488.0
0,RL,0,45746,41,1704189212.0,1704229466.0,21600.0,237.0,32,40254.0,40491.0,170.84810126582278,170.84810126582278,7584.0,4.788588161589913e-07,15837653488.0
0,RL,0,45746,42,1704204304.0,1704216772.0,21600.0,2184.0,32,12468.0,14652.0,6.708791208791209,6.708791208791209,69888.0,4.412774913465136e-06,15837653488.0
0,RL,0,45746,43,1704205200.0,1704214849.0,7200.0,7200.0,20,9649.0,16849.0,2.3401388888888888,2.3401388888888888,144000.0,9.092256003018823e-06,15837653488.0
0,RL,0,45746,44,1704206868.0,1704229466.0,21600.0,942.0,32,22598.0,23540.0,24.989384288747345,24.989384288747345,30144.0,1.9033122566319402e-06,15837653488.0
0,RL,0,45746,45,1704207008.0,1704229063.0,21600.0,21019.0,25,22055.0,43074.0,2.0492887387601693,2.0492887387601693,525475.0,3.317884182768275e-05,15837653488.0
0,RL,0,45746,46,1704207884.0,1704245974.0,21600.0,13292.0,83,38090.0,51382.0,3.8656334637375864,3.8656334637375864,1103236.0,6.965905655379496e-05,15837653488.0
0,RL,0,45746,47,1704207887.0,1704239863.0,21600.0,21600.0,83,31976.0,53576.0,2.4803703703703706,2.4803703703703706,1792800.0,0.00011319858723758435,15837653488.0
0,RL,0,45746,48,1704207907.0,1704241613.0,21600.0,4361.0,83,33706.0,38067.0,8.728961247420317,8.728961247420317,361963.0,2.2854585136254877e-05,15837653488.0
0,RL,0,45746,49,1704208358.0,1704225463.0,21600.0,2468.0,32,17105.0,19573.0,7.930713128038898,7.930713128038898,78976.0,4.986597292322324e-06,15837653488.0
0,RL,0,45746,50,1704208513.0,1704238723.0,21600.0,488.0,32,30210.0,30698.0,62.90573770491803,62.90573770491803,15616.0,9.860046509940413e-07,15837653488.0
0,RL,0,45746,51,1704209001.0,1704215066.0,7200.0,7200.0,83,6065.0,13265.0,1.8423611111111111,1.8423611111111111,597600.0,3.7732862412528114e-05,15837653488.0
0,RL,0,45746,52,1704209003.0,1704222266.0,7200.0,7200.0,83,13263.0,20463.0,2.8420833333333335,2.8420833333333335,597600.0,3.7732862412528114e-05,15837653488.0
0,RL,0,45746,53,1704209006.0,1704221863.0,7200.0,7200.0,83,12857.0,20057.0,2.7856944444444443,2.7856944444444443,597600.0,3.7732862412528114e-05,15837653488.0
0,RL,0,45746,54,1704211905.0,1704227931.0,10800.0,10800.0,24,16026.0,26826.0,2.483888888888889,2.483888888888889,259200.0,1.636606080543388e-05,15837653488.0
0,RL,0,45746,55,1704212083.0,1704225632.0,7200.0,7200.0,27,13549.0,20749.0,2.8818055555555557,2.8818055555555557,194400.0,1.2274545604075411e-05,15837653488.0
0,RL,0,45746,56,1704212770.0,1704214879.0,7200.0,187.0,20,2109.0,2296.0,12.27807486631016,12.27807486631016,3740.0,2.3614609341173887e-07,15837653488.0
0,RL,0,45746,57,1704212997.0,1704230164.0,18000.0,18000.0,50,17167.0,35167.0,1.9537222222222221,1.9537222222222221,900000.0,5.682660001886764e-05,15837653488.0
0,RL,0,45746,58,1704213770.0,1704225646.0,10800.0,10800.0,40,11876.0,22676.0,2.0996296296296295,2.0996296296296295,432000.0,2.7276768009056468e-05,15837653488.0
0,RL,0,45746,59,1704213771.0,1704229703.0,21600.0,6.0,32,15932.0,15938.0,2656.3333333333335,1593.8,192.0,1.2123008004025097e-08,15837653488.0
0,RL,0,45746,60,1704213771.0,1704236446.0,21600.0,692.0,32,22675.0,23367.0,33.767341040462426,33.767341040462426,22144.0,1.3981869231308947e-06,15837653488.0
0,RL,0,45746,61,1704213771.0,1704238428.0,21600.0,295.0,32,24657.0,24952.0,84.58305084745763,84.58305084745763,9440.0,5.960478935312339e-07,15837653488.0
0,RL,0,45746,62,1704213839.0,1704232832.0,21600.0,281.0,32,18993.0,19274.0,68.59074733096085,68.59074733096085,8992.0,5.677608748551754e-07,15837653488.0
0,RL,0,45746,63,1704213922.0,1704230409.0,21600.0,3381.0,32,16487.0,19868.0,5.876367938479739,5.876367938479739,108192.0,6.831315010268142e-06,15837653488.0
0,RL,0,45746,64,1704213951.0,1704231064.0,21600.0,164.0,32,17113.0,17277.0,105.34756097560975,105.34756097560975,5248.0,3.31362218776686e-07,15837653488.0
0,RL,0,45746,65,1704214014.0,1704230408.0,21600.0,1.0,32,16394.0,16395.0,16395.0,1639.5,32.0,2.020501334004183e-09,15837653488.0
0,RL,0,45746,66,1704214014.0,1704237906.0,21600.0,2.0,32,23892.0,23894.0,11947.0,2389.4,64.0,4.041002668008366e-09,15837653488.0
0,RL,0,45746,67,1704214014.0,1704236802.0,21600.0,2.0,32,22788.0,22790.0,11395.0,2279.0,64.0,4.041002668008366e-09,15837653488.0
