System,Metric,Job_Class,Baseline_Tag,Driver,Raw_Tag,Direction,Count,P25,P50,P75,Mean,P25_Change_vs_Baseline_Pct,P50_Change_vs_Baseline_Pct,P75_Change_vs_Baseline_Pct,Mean_Change_vs_Baseline_Pct
Theta 2021,Wait_Time_hours,S,WFP,RLScheduler,RLScheduler,lower_is_better,19733,7.5700,11.2172,16.7339,13.8999,-1320.11,-640.55,-306.38,-213.69
Theta 2021,Wait_Time_hours,S,WFP,Random,Random,lower_is_better,12756,0.2360,0.9160,3.3186,3.1240,55.72,39.53,19.41,29.50
Theta 2021,Wait_Time_hours,S,WFP,WFP,WFP,lower_is_better,15048,0.5331,1.5147,4.1178,4.4311,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,S,WFP,MARS-CW,MARS-CW,lower_is_better,12088,0.1228,0.5069,2.2361,2.5213,76.97,66.53,45.70,43.10
Theta 2021,Wait_Time_hours,S,WFP,MARS-CU,MARS-CU,lower_is_better,14512,0.3941,1.5615,5.0032,4.4984,26.07,-3.09,-21.50,-1.52
Theta 2021,Wait_Time_hours,S,WFP,FCFS,FCFS,lower_is_better,15559,0.8310,2.9583,9.8531,10.1901,-55.89,-95.31,-139.28,-129.97
Theta 2021,Wait_Time_hours,S,WFP,SJF,SJF,lower_is_better,11661,0.2111,0.6594,2.1828,2.0738,60.40,56.46,46.99,53.20
Theta 2021,Wait_Time_hours,S,WFP,F1,F1,lower_is_better,11081,0.1908,0.6028,1.8356,1.9017,64.20,60.21,55.42,57.08
Theta 2021,Wait_Time_hours,M,WFP,RLScheduler,RLScheduler,lower_is_better,8449,8.9322,13.1231,23.1225,23.3174,-800.73,-335.10,-214.30,-256.20
Theta 2021,Wait_Time_hours,M,WFP,Random,Random,lower_is_better,6210,0.4789,1.8718,5.3510,4.1078,51.71,37.94,27.27,37.25
Theta 2021,Wait_Time_hours,M,WFP,WFP,WFP,lower_is_better,7219,0.9917,3.0161,7.3568,6.5463,0.00,0.00,0.00,0.00
Theta 2021,Wait_Time_hours,M,WFP,MARS-CW,MARS-CW,lower_is_better,5911,0.1986,0.9383,4.4251,4.3600,79.97,68.89,39.85,33.40
Theta 2021,Wait_Time_hours,M,WFP,MARS-CU,MARS-CU,lower_is_better,6729,0.7792,3.1903,9.3750,7.2612,21.43,-5.77,-27.43,-10.92
Theta 2021,Wait_Time_hours,M,WFP,FCFS,FCFS,lower_is_better,7275,1.7647,5.7256,15.7779,13.9770,-77.96,-89.83,-114.47,-113.51
Theta 2021,Wait_Time_hours,M,WFP,SJF,SJF,lower_is_better,5721,0.3947,1.3242,3.9283,2.9544,60.20,56.10,46.60,54.87
Theta 2021,Wait_Time_hours,M,WFP,F1,F1,lower_is_better,5501,0.3656,1.4314,3.9417,2.9668,63.14,52.54,46.42,54.68
Theta 2021,Wait_Time_hours,L,WFP,RLScheduler,RLScheduler,lower_is_better,4776,12.3575,24.7664,85.5099,145.9595,-298.46,-184.81,-275.53,-738.82
Theta 2021,Wait_Time_hours,L,WFP,Random,Random,lower_is_better,4125,1.7167,5.8197,14.6928,11.1100,44.65,33.07,35.47,36.15
Theta 2021,Wait_Time_hours,L,WFP,WFP,WFP,lower_is_better,4428,3.1013,8.6958,22.7703,17.4007,0.00,0.00,0.00,0.00
