cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,FCSJ,"|0|"
2,1,FCSJ,"|1|"
3,1,NONE,""
4,1,NONE,""
5,1,FCSJ,"|2|"
6,1,FCSJ,"|3|"
7,1,NONE,""
8,1,NONE,""
9,1,FCSJ,"|4|"
10,1,FCSJ,"|5|"
11,1,FCSJ,"|6|"
12,1,FCSJ,"|7|"
13,1,FCSJ,"|8|"
14,1,FCSJ,"|9|"
15,1,NONE,""
16,1,FCSJ,"|10|"
17,1,FCSJ,"|11|"
18,1,NONE,""
19,1,NONE,""
20,1,NONE,""
21,1,FCSJ,"|12|"
22,1,NONE,""
23,1,FCSJ,"|13|"
24,1,NONE,""
25,1,FCSJ,"|14|"
26,1,FCSJ,"|15|"
27,1,NONE,""
28,1,NONE,""
29,1,NONE,""
30,1,FCSJ,"|16|"
31,1,NONE,""
32,1,FCSJ,"|17|"
33,1,NONE,""
34,1,FCSJ,"|18|"
35,1,NONE,""
36,1,FCSJ,"|19|"
37,1,FCSJ,"|20|"
38,1,FCSJ,"|21|"
39,1,FCSJ,"|22|"
40,1,DRAIN,"|23|"
41,1,DRAIN,"|23|"
42,1,DRAIN,"|23|"
43,1,DRAIN,"|23|"
44,1,DRAIN,"|23|"
45,1,BACKFILL,"|23|"
46,1,BACKFILL,"|23|"
47,1,DRAIN,"|23|"
48,1,FCSJ,"|23|"
49,1,DRAIN,"|30|"
50,1,FCSJ,"|30|"
51,1,DRAIN,"|24|"
52,1,DRAIN,"|32|"
53,1,DRAIN,"|32|"
54,1,DRAIN,"|32|"
55,1,DRAIN,"|32|"
56,1,DRAIN,"|32|"
57,1,DRAIN,"|32|"
58,1,FCSJ+BACKFILL,"|32|"
59,1,DRAIN,"|33|"
60,1,DRAIN,"|33|"
61,1,DRAIN,"|33|"
62,1,DRAIN,"|33|"
63,1,DRAIN,"|33|"
64,1,BACKFILL,"|33|"
65,1,DRAIN,"|33|"
66,1,BACKFILL,"|33|"
67,1,DRAIN,"|33|"
68,1,DRAIN,"|33|"
69,1,DRAIN,"|33|"
70,1,DRAIN,"|33|"
71,1,FCSJ,"|33|"
72,1,DRAIN,"|31|"
73,1,FCSJ+BACKFILL,"|31|"
74,1,DRAIN,"|24|"
75,1,DRAIN,"|24|"
76,1,DRAIN,"|24|"
77,1,BACKFILL,"|24|"
78,1,DRAIN,"|24|"
79,1,DRAIN,"|24|"
80,1,BACKFILL,"|24|"
81,1,DRAIN,"|24|"
82,1,DRAIN,"|24|"
83,1,BACKFILL,"|24|"
84,1,BACKFILL,"|24|"
85,1,DRAIN,"|24|"
86,1,DRAIN,"|24|"
87,1,BACKFILL,"|24|"
88,1,DRAIN,"|24|"
89,1,DRAIN,"|24|"
90,1,FCSJ,"|24|"
91,1,FCSJ,"|25|"
92,1,DRAIN,"|26|"
93,1,DRAIN,"|26|"
94,1,DRAIN,"|26|"
95,1,DRAIN,"|26|"
96,1,DRAIN,"|26|"
97,1,DRAIN,"|26|"
98,1,DRAIN,"|26|"
99,1,DRAIN,"|26|"
100,1,DRAIN,"|50|"
101,1,DRAIN,"|50|"
102,1,DRAIN,"|50|"
103,1,DRAIN,"|50|"
104,1,DRAIN,"|50|"
105,1,DRAIN,"|50|"
106,1,DRAIN,"|50|"
107,1,DRAIN,"|50|"
108,1,DRAIN,"|50|"
109,1,DRAIN,"|50|"
110,1,DRAIN,"|50|"
111,1,DRAIN,"|50|"
112,1,DRAIN,"|50|"
113,1,DRAIN,"|50|"
114,1,DRAIN,"|50|"
115,1,DRAIN,"|50|"
116,1,DRAIN,"|50|"
117,1,DRAIN,"|50|"
118,1,DRAIN,"|50|"
119,1,DRAIN,"|50|"
120,1,DRAIN,"|50|"
121,1,DRAIN,"|50|"
122,1,DRAIN,"|50|"
123,1,DRAIN,"|50|"
124,1,DRAIN,"|50|"
125,1,DRAIN,"|50|"
126,1,DRAIN,"|50|"
127,1,DRAIN,"|50|"
128,1,DRAIN,"|50|"
129,1,DRAIN,"|50|"
130,1,DRAIN,"|50|"
131,1,DRAIN,"|50|"
132,1,DRAIN,"|50|"
133,1,DRAIN,"|50|"
134,1,DRAIN,"|50|"
135,1,DRAIN,"|50|"
136,1,FCSJ,"|50|"
137,1,FCSJ,"|76|"
138,1,FCSJ,"|86|"
139,1,FCSJ,"|69|"
140,1,DRAIN,"|70|"
141,1,BACKFILL,"|70|"
142,1,DRAIN,"|70|"
143,1,FCSJ,"|70|"
144,1,FCSJ,"|72|"
145,1,DRAIN,"|73|"
146,1,FCSJ,"|73|"
147,1,BACKFILL,"|78|"
148,1,DRAIN,"|78|"
149,1,DRAIN,"|78|"
150,1,FCSJ,"|78|"
151,1,DRAIN,"|80|"
152,1,DRAIN,"|80|"
153,1,DRAIN,"|80|"
154,1,DRAIN,"|80|"
155,1,FCSJ,"|80|"
156,1,DRAIN,"|81|"
157,1,DRAIN,"|81|"
158,1,DRAIN,"|81|"
159,1,DRAIN,"|81|"
160,1,DRAIN,"|81|"
161,1,DRAIN,"|81|"
162,1,DRAIN,"|81|"
163,1,DRAIN,"|81|"
164,1,DRAIN,"|81|"
165,1,DRAIN,"|81|"
166,1,DRAIN,"|81|"
167,1,DRAIN,"|81|"
168,1,DRAIN,"|81|"
169,1,DRAIN,"|81|"
170,1,DRAIN,"|81|"
171,1,DRAIN,"|81|"
172,1,DRAIN,"|81|"
173,1,DRAIN,"|81|"
174,1,DRAIN,"|81|"
175,1,DRAIN,"|81|"
176,1,BACKFILL,"|81|"
177,1,DRAIN,"|81|"
178,1,FCSJ,"|91|"
179,1,DRAIN,"|81|"
180,1,DRAIN,"|81|"
181,1,DRAIN,"|81|"
182,1,DRAIN,"|81|"
183,1,DRAIN,"|81|"
184,1,FCSJ+BACKFILL,"|102|"
185,1,FCSJ,"|107|"
186,1,FCSJ,"|108|"
187,1,FCSJ,"|109|"
188,1,DRAIN,"|115|"
189,1,FCSJ,"|115|"
190,1,FCSJ+BACKFILL,"|116|"
191,1,DRAIN,"|82|"
192,1,BACKFILL,"|82|"
193,1,FCSJ,"|82|"
194,1,DRAIN,"|54|"
195,1,FCSJ,"|54|"
196,1,DRAIN,"|56|"
197,1,FCSJ,"|56|"
198,1,BACKFILL,"|64|"
199,1,DRAIN,"|64|"
200,1,DRAIN,"|64|"
201,1,DRAIN,"|64|"
202,1,BACKFILL,"|64|"
203,1,DRAIN,"|64|"
204,1,DRAIN,"|64|"
205,1,DRAIN,"|64|"
206,1,FCSJ,"|64|"
207,1,BACKFILL,"|60|"
208,1,DRAIN,"|60|"
209,1,DRAIN,"|60|"
210,1,DRAIN,"|60|"
211,1,DRAIN,"|60|"
212,1,DRAIN,"|60|"
213,1,DRAIN,"|60|"
214,1,DRAIN,"|60|"
215,1,DRAIN,"|60|"
216,1,DRAIN,"|60|"
217,1,DRAIN,"|60|"
218,1,DRAIN,"|60|"
219,1,DRAIN,"|60|"
220,1,BACKFILL,"|60|"
221,1,BACKFILL,"|60|"
222,1,FCSJ,"|118|"
223,1,FCSJ,"|119|"
224,1,FCSJ,"|125|"
225,1,FCSJ,"|60|"
226,1,BACKFILL,"|77|"
227,1,BACKFILL,"|77|"
228,1,BACKFILL,"|77|"
229,1,BACKFILL,"|77|"
230,1,BACKFILL,"|77|"
231,1,FCSJ,"|77|"
232,1,DRAIN,"|99|"
233,1,FCSJ,"|99|"
234,1,DRAIN,"|26|"
235,1,DRAIN,"|26|"
236,1,DRAIN,"|26|"
237,1,DRAIN,"|26|"
238,1,DRAIN,"|26|"
239,1,DRAIN,"|26|"
240,1,DRAIN,"|26|"
241,1,DRAIN,"|26|"
242,1,DRAIN,"|26|"
243,1,DRAIN,"|26|"
244,1,DRAIN,"|26|"
245,1,DRAIN,"|26|"
246,1,DRAIN,"|26|"
247,1,DRAIN,"|26|"
248,1,DRAIN,"|26|"
249,1,DRAIN,"|26|"
250,1,DRAIN,"|26|"
251,1,DRAIN,"|26|"
252,1,DRAIN,"|26|"
253,1,DRAIN,"|26|"
254,1,DRAIN,"|26|"
255,1,DRAIN,"|26|"
256,1,DRAIN,"|26|"
257,1,DRAIN,"|26|"
258,1,FCSJ+BACKFILL,"|83|"
259,1,DRAIN,"|26|"
260,1,DRAIN,"|26|"
261,1,DRAIN,"|26|"
262,1,BACKFILL,"|26|"
263,1,BACKFILL,"|26|"
264,1,DRAIN,"|26|"
265,1,BACKFILL,"|26|"
266,1,DRAIN,"|26|"
267,1,DRAIN,"|26|"
268,1,BACKFILL,"|26|"
269,1,DRAIN,"|26|"
270,1,BACKFILL,"|26|"
271,1,BACKFILL,"|26|"
272,1,DRAIN,"|26|"
273,1,DRAIN,"|26|"
274,1,BACKFILL,"|26|"
275,1,DRAIN,"|26|"
276,1,DRAIN,"|26|"
277,1,DRAIN,"|26|"
278,1,BACKFILL,"|26|"
279,1,DRAIN,"|26|"
280,1,DRAIN,"|26|"
281,1,BACKFILL,"|26|"
282,1,DRAIN,"|26|"
283,1,DRAIN,"|26|"
284,1,DRAIN,"|26|"
285,1,DRAIN,"|26|"
286,1,DRAIN,"|26|"
287,1,DRAIN,"|26|"
288,1,DRAIN,"|26|"
289,1,BACKFILL,"|26|"
290,1,BACKFILL,"|26|"
291,1,BACKFILL,"|26|"
292,1,DRAIN,"|26|"
293,1,DRAIN,"|26|"
294,1,DRAIN,"|26|"
295,1,DRAIN,"|26|"
296,1,BACKFILL,"|26|"
297,1,DRAIN,"|26|"
298,1,DRAIN,"|26|"
299,1,BACKFILL,"|26|"
300,1,DRAIN,"|26|"
301,1,BACKFILL,"|26|"
302,1,BACKFILL,"|26|"
303,1,BACKFILL,"|26|"
304,1,BACKFILL,"|26|"
305,1,DRAIN,"|26|"
306,1,DRAIN,"|26|"
307,1,DRAIN,"|26|"
308,1,DRAIN,"|26|"
309,1,DRAIN,"|26|"
310,1,DRAIN,"|26|"
311,1,DRAIN,"|26|"
312,1,DRAIN,"|26|"
313,1,FCSJ,"|26|"
314,1,DRAIN,"|27|"
315,1,DRAIN,"|27|"
316,1,DRAIN,"|162|"
317,1,DRAIN,"|162|"
318,1,DRAIN,"|162|"
319,1,DRAIN,"|162|"
320,1,DRAIN,"|162|"
321,1,DRAIN,"|162|"
322,1,DRAIN,"|162|"
323,1,DRAIN,"|162|"
324,1,DRAIN,"|162|"
325,1,DRAIN,"|162|"
326,1,FCSJ+BACKFILL,"|162|"
327,1,DRAIN,"|27|"
328,1,DRAIN,"|27|"
329,1,BACKFILL,"|27|"
330,1,BACKFILL,"|27|"
331,1,BACKFILL,"|27|"
332,1,BACKFILL,"|27|"
333,1,BACKFILL,"|27|"
334,1,BACKFILL,"|27|"
335,1,BACKFILL,"|27|"
336,1,BACKFILL,"|27|"
337,1,BACKFILL,"|27|"
338,1,DRAIN,"|27|"
339,1,DRAIN,"|27|"
340,1,DRAIN,"|27|"
341,1,DRAIN,"|27|"
342,1,DRAIN,"|27|"
343,1,DRAIN,"|27|"
344,1,BACKFILL,"|27|"
345,1,DRAIN,"|27|"
346,1,DRAIN,"|27|"
347,1,DRAIN,"|27|"
348,1,DRAIN,"|27|"
349,1,BACKFILL,"|27|"
350,1,BACKFILL,"|27|"
351,1,DRAIN,"|27|"
352,1,DRAIN,"|27|"
353,1,DRAIN,"|27|"
354,1,DRAIN,"|27|"
355,1,DRAIN,"|27|"
356,1,DRAIN,"|27|"
357,1,DRAIN,"|27|"
358,1,BACKFILL,"|169|"
359,1,DRAIN,"|169|"
360,1,BACKFILL,"|169|"
361,1,DRAIN,"|169|"
362,1,DRAIN,"|169|"
363,1,FCSJ,"|169|"
364,1,DRAIN,"|27|"
365,1,FCSJ,"|27|"
366,1,FCSJ,"|37|"
367,1,DRAIN,"|143|"
368,1,DRAIN,"|143|"
369,1,DRAIN,"|143|"
370,1,DRAIN,"|143|"
371,1,DRAIN,"|143|"
372,1,DRAIN,"|143|"
373,1,DRAIN,"|143|"
374,1,DRAIN,"|188|"
375,1,DRAIN,"|188|"
376,1,DRAIN,"|188|"
377,1,DRAIN,"|188|"
378,1,DRAIN,"|188|"
379,1,DRAIN,"|188|"
380,1,DRAIN,"|188|"
381,1,DRAIN,"|188|"
382,1,DRAIN,"|188|"
383,1,DRAIN,"|188|"
384,1,DRAIN,"|188|"
385,1,DRAIN,"|188|"
386,1,DRAIN,"|188|"
387,1,DRAIN,"|188|"
388,1,DRAIN,"|188|"
389,1,DRAIN,"|188|"
390,1,DRAIN,"|188|"
391,1,DRAIN,"|188|"
392,1,DRAIN,"|188|"
393,1,DRAIN,"|188|"
394,1,DRAIN,"|188|"
395,1,DRAIN,"|188|"
396,1,DRAIN,"|188|"
397,1,DRAIN,"|188|"
398,1,DRAIN,"|188|"
399,1,DRAIN,"|188|"
400,1,FCSJ,"|188|"
401,1,FCSJ,"|217|"
402,1,FCSJ,"|198|"
403,1,FCSJ+BACKFILL,"|199|"
404,1,DRAIN,"|143|"
405,1,DRAIN,"|143|"
406,1,DRAIN,"|143|"
407,1,BACKFILL,"|143|"
408,1,DRAIN,"|143|"
409,1,DRAIN,"|143|"
410,1,DRAIN,"|143|"
411,1,DRAIN,"|143|"
412,1,DRAIN,"|143|"
413,1,DRAIN,"|143|"
414,1,DRAIN,"|143|"
415,1,DRAIN,"|143|"
416,1,DRAIN,"|143|"
417,1,DRAIN,"|143|"
418,1,DRAIN,"|143|"
419,1,DRAIN,"|143|"
420,1,DRAIN,"|143|"
421,1,DRAIN,"|143|"
422,1,FCSJ,"|143|"
423,1,BACKFILL,"|196|"
424,1,DRAIN,"|196|"
425,1,FCSJ,"|196|"
426,1,BACKFILL,"|147|"
427,1,DRAIN,"|147|"
428,1,DRAIN,"|147|"
429,1,FCSJ,"|147|"
430,1,FCSJ,"|148|"
431,1,DRAIN,"|170|"
432,1,BACKFILL,"|170|"
433,1,DRAIN,"|170|"
434,1,DRAIN,"|170|"
435,1,BACKFILL,"|170|"
436,1,BACKFILL,"|170|"
437,1,BACKFILL,"|170|"
438,1,DRAIN,"|170|"
439,1,BACKFILL,"|170|"
440,1,BACKFILL,"|170|"
441,1,BACKFILL,"|170|"
442,1,BACKFILL,"|170|"
443,1,BACKFILL,"|170|"
444,1,DRAIN,"|170|"
445,1,DRAIN,"|170|"
446,1,BACKFILL,"|170|"
447,1,DRAIN,"|170|"
448,1,BACKFILL,"|170|"
449,1,DRAIN,"|170|"
450,1,BACKFILL,"|170|"
451,1,BACKFILL,"|170|"
452,1,DRAIN,"|170|"
453,1,DRAIN,"|170|"
454,1,DRAIN,"|170|"
455,1,DRAIN,"|170|"
456,1,DRAIN,"|170|"
457,1,BACKFILL,"|170|"
458,1,BACKFILL,"|170|"
459,1,BACKFILL,"|170|"
460,1,BACKFILL,"|170|"
461,1,DRAIN,"|170|"
462,1,DRAIN,"|170|"
463,1,DRAIN,"|170|"
464,1,DRAIN,"|170|"
465,1,DRAIN,"|170|"
466,1,BACKFILL,"|170|"
467,1,DRAIN,"|170|"
468,1,DRAIN,"|170|"
469,1,DRAIN,"|170|"
470,1,FCSJ,"|170|"
471,1,DRAIN,"|171|"
472,1,DRAIN,"|171|"
473,1,DRAIN,"|171|"
474,1,DRAIN,"|171|"
475,1,DRAIN,"|171|"
476,1,DRAIN,"|171|"
477,1,FCSJ,"|171|"
478,1,FCSJ,"|172|"
479,1,FCSJ,"|240|"
480,1,DRAIN,"|38|"
481,1,DRAIN,"|38|"
482,1,DRAIN,"|38|"
483,1,DRAIN,"|38|"
484,1,FCSJ,"|38|"
485,1,DRAIN,"|245|"
486,1,DRAIN,"|245|"
487,1,DRAIN,"|245|"
488,1,DRAIN,"|248|"
489,1,DRAIN,"|248|"
490,1,DRAIN,"|248|"
491,1,DRAIN,"|248|"
492,1,DRAIN,"|248|"
493,1,DRAIN,"|248|"
494,1,DRAIN,"|248|"
495,1,DRAIN,"|248|"
496,1,DRAIN,"|248|"
497,1,FCSJ+BACKFILL,"|248|"
498,1,FCSJ,"|207|"
499,1,DRAIN,"|208|"
500,1,FCSJ,"|208|"
501,1,DRAIN,"|210|"
502,1,BACKFILL,"|210|"
503,1,DRAIN,"|210|"
504,1,DRAIN,"|210|"
