cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,LCFS,"|0|"
2,1,LCFS,"|1|"
3,1,NONE,""
4,1,NONE,""
5,1,LCFS,"|2|"
6,1,LCFS,"|3|"
7,1,NONE,""
8,1,NONE,""
9,1,LCFS,"|4|"
10,1,LCFS,"|5|"
11,1,LCFS,"|6|"
12,1,LCFS,"|7|"
13,1,LCFS,"|8|"
14,1,LCFS,"|9|"
15,1,NONE,""
16,1,LCFS,"|10|"
17,1,LCFS,"|11|"
18,1,NONE,""
19,1,NONE,""
20,1,NONE,""
21,1,LCFS,"|12|"
22,1,NONE,""
23,1,LCFS,"|13|"
24,1,NONE,""
25,1,LCFS,"|14|"
26,1,LCFS,"|15|"
27,1,NONE,""
28,1,NONE,""
29,1,NONE,""
30,1,LCFS,"|16|"
31,1,NONE,""
32,1,LCFS,"|17|"
33,1,NONE,""
34,1,LCFS,"|18|"
35,1,NONE,""
36,1,LCFS,"|19|"
37,1,LCFS,"|20|"
38,1,LCFS,"|21|"
39,1,LCFS,"|22|"
40,1,DRAIN,"|23|"
41,1,DRAIN,"|24|"
42,1,DRAIN,"|24|"
43,1,DRAIN,"|26|"
44,1,DRAIN,"|27|"
45,1,LCFS,"|28|"
46,1,LCFS,"|29|"
47,1,DRAIN,"|30|"
48,1,LCFS,"|30|"
49,1,DRAIN,"|31|"
50,1,DRAIN,"|31|"
51,1,LCFS,"|32|"
52,1,DRAIN,"|31|"
53,1,BACKFILL,"|33|"
54,1,DRAIN,"|34|"
55,1,DRAIN,"|35|"
56,1,DRAIN,"|36|"
57,1,DRAIN,"|37|"
58,1,DRAIN,"|38|"
59,1,BACKFILL,"|38|"
60,1,BACKFILL,"|38|"
61,1,DRAIN,"|38|"
62,1,DRAIN,"|38|"
63,1,LCFS,"|39|"
64,1,DRAIN,"|38|"
65,1,BACKFILL,"|38|"
66,1,LCFS,"|40|"
67,1,DRAIN,"|38|"
68,1,DRAIN,"|38|"
69,1,LCFS,"|41|"
70,1,DRAIN,"|38|"
71,1,DRAIN,"|38|"
72,1,DRAIN,"|38|"
73,1,LCFS,"|42|"
74,1,BACKFILL,"|38|"
75,1,DRAIN,"|38|"
76,1,DRAIN,"|38|"
77,1,LCFS,"|43|"
78,1,DRAIN,"|38|"
79,1,DRAIN,"|38|"
80,1,LCFS,"|44|"
81,1,DRAIN,"|38|"
82,1,DRAIN,"|38|"
83,1,LCFS,"|45|"
84,1,LCFS,"|46|"
85,1,DRAIN,"|38|"
86,1,DRAIN,"|38|"
87,1,LCFS,"|47|"
88,1,DRAIN,"|38|"
89,1,DRAIN,"|38|"
90,1,LCFS,"|38|"
91,1,DRAIN,"|48|"
92,1,DRAIN,"|49|"
93,1,DRAIN,"|50|"
94,1,DRAIN,"|51|"
95,1,DRAIN,"|52|"
96,1,DRAIN,"|53|"
97,1,DRAIN,"|54|"
98,1,DRAIN,"|55|"
99,1,DRAIN,"|56|"
100,1,DRAIN,"|57|"
101,1,DRAIN,"|58|"
102,1,DRAIN,"|59|"
103,1,DRAIN,"|60|"
104,1,DRAIN,"|61|"
105,1,DRAIN,"|62|"
106,1,DRAIN,"|63|"
107,1,DRAIN,"|64|"
108,1,DRAIN,"|65|"
109,1,DRAIN,"|66|"
110,1,DRAIN,"|67|"
111,1,DRAIN,"|68|"
112,1,DRAIN,"|69|"
113,1,DRAIN,"|70|"
114,1,DRAIN,"|71|"
115,1,DRAIN,"|72|"
116,1,DRAIN,"|73|"
117,1,DRAIN,"|74|"
118,1,DRAIN,"|74|"
119,1,DRAIN,"|74|"
120,1,DRAIN,"|74|"
121,1,DRAIN,"|74|"
122,1,DRAIN,"|74|"
123,1,DRAIN,"|74|"
124,1,DRAIN,"|74|"
125,1,DRAIN,"|74|"
126,1,DRAIN,"|74|"
127,1,DRAIN,"|74|"
128,1,DRAIN,"|74|"
129,1,DRAIN,"|74|"
130,1,DRAIN,"|74|"
131,1,DRAIN,"|74|"
132,1,DRAIN,"|74|"
133,1,DRAIN,"|74|"
134,1,DRAIN,"|74|"
135,1,DRAIN,"|74|"
136,1,DRAIN,"|74|"
137,1,DRAIN,"|74|"
138,1,DRAIN,"|74|"
139,1,DRAIN,"|74|"
140,1,DRAIN,"|74|"
141,1,DRAIN,"|74|"
142,1,DRAIN,"|74|"
143,1,DRAIN,"|74|"
144,1,DRAIN,"|74|"
145,1,DRAIN,"|74|"
146,1,DRAIN,"|74|"
147,1,DRAIN,"|74|"
148,1,DRAIN,"|74|"
149,1,DRAIN,"|74|"
150,1,DRAIN,"|74|"
151,1,DRAIN,"|74|"
152,1,DRAIN,"|74|"
153,1,DRAIN,"|74|"
154,1,DRAIN,"|74|"
155,1,DRAIN,"|74|"
156,1,DRAIN,"|74|"
157,1,DRAIN,"|74|"
158,1,DRAIN,"|74|"
159,1,DRAIN,"|74|"
160,1,DRAIN,"|74|"
161,1,DRAIN,"|74|"
162,1,DRAIN,"|74|"
163,1,DRAIN,"|74|"
164,1,DRAIN,"|74|"
165,1,DRAIN,"|74|"
166,1,DRAIN,"|74|"
167,1,DRAIN,"|74|"
168,1,DRAIN,"|74|"
169,1,DRAIN,"|74|"
170,1,DRAIN,"|74|"
171,1,DRAIN,"|74|"
172,1,LCFS,"|74|"
173,1,BACKFILL,"|85|"
174,1,DRAIN,"|86|"
175,1,DRAIN,"|86|"
176,1,DRAIN,"|86|"
177,1,DRAIN,"|86|"
178,1,DRAIN,"|86|"
179,1,DRAIN,"|86|"
180,1,DRAIN,"|86|"
181,1,DRAIN,"|86|"
182,1,LCFS+BACKFILL,"|86|"
183,1,DRAIN,"|92|"
184,1,DRAIN,"|92|"
185,1,DRAIN,"|92|"
186,1,DRAIN,"|92|"
187,1,DRAIN,"|92|"
188,1,DRAIN,"|92|"
189,1,DRAIN,"|92|"
190,1,DRAIN,"|92|"
191,1,DRAIN,"|92|"
192,1,LCFS,"|92|"
193,1,DRAIN,"|93|"
194,1,DRAIN,"|93|"
195,1,LCFS,"|93|"
196,1,LCFS,"|94|"
197,1,LCFS,"|95|"
198,1,LCFS,"|96|"
199,1,LCFS,"|97|"
200,1,LCFS,"|98|"
201,1,DRAIN,"|100|"
202,1,LCFS,"|100|"
203,1,DRAIN,"|101|"
204,1,DRAIN,"|101|"
205,1,DRAIN,"|101|"
206,1,DRAIN,"|101|"
207,1,DRAIN,"|101|"
208,1,LCFS+BACKFILL,"|101|"
209,1,LCFS,"|108|"
210,1,LCFS,"|109|"
211,1,DRAIN,"|110|"
212,1,LCFS,"|110|"
213,1,LCFS,"|111|"
214,1,DRAIN,"|113|"
215,1,LCFS,"|113|"
216,1,LCFS,"|115|"
217,1,LCFS,"|116|"
218,1,LCFS,"|117|"
219,1,LCFS,"|118|"
220,1,LCFS,"|119|"
221,1,LCFS,"|120|"
222,1,LCFS,"|121|"
223,1,LCFS,"|122|"
224,1,DRAIN,"|123|"
225,1,LCFS,"|123|"
226,1,LCFS,"|124|"
227,1,LCFS,"|125|"
228,1,LCFS,"|126|"
229,1,LCFS,"|127|"
230,1,LCFS,"|128|"
231,1,LCFS,"|129|"
232,1,LCFS,"|130|"
233,1,LCFS,"|131|"
234,1,LCFS,"|132|"
235,1,LCFS,"|133|"
236,1,LCFS,"|134|"
237,1,LCFS,"|135|"
238,1,LCFS,"|136|"
239,1,BACKFILL,"|137|"
240,1,BACKFILL,"|138|"
241,1,BACKFILL,"|139|"
242,1,LCFS,"|140|"
243,1,LCFS,"|141|"
244,1,LCFS,"|142|"
245,1,BACKFILL,"|143|"
246,1,LCFS,"|144|"
247,1,LCFS,"|145|"
248,1,DRAIN,"|146|"
249,1,LCFS,"|146|"
250,1,BACKFILL,"|147|"
251,1,BACKFILL,"|148|"
252,1,BACKFILL,"|148|"
253,1,LCFS,"|150|"
254,1,BACKFILL,"|151|"
255,1,LCFS,"|152|"
256,1,LCFS,"|153|"
257,1,DRAIN,"|151|"
258,1,BACKFILL,"|151|"
259,1,DRAIN,"|151|"
260,1,DRAIN,"|151|"
261,1,LCFS,"|151|"
262,1,BACKFILL,"|148|"
263,1,DRAIN,"|154|"
264,1,DRAIN,"|155|"
265,1,BACKFILL,"|155|"
266,1,DRAIN,"|155|"
267,1,DRAIN,"|155|"
268,1,DRAIN,"|155|"
269,1,LCFS,"|156|"
270,1,DRAIN,"|155|"
271,1,DRAIN,"|155|"
272,1,LCFS,"|157|"
273,1,LCFS,"|158|"
274,1,LCFS,"|155|"
275,1,DRAIN,"|159|"
276,1,LCFS,"|159|"
277,1,BACKFILL,"|154|"
278,1,BACKFILL,"|154|"
279,1,DRAIN,"|160|"
280,1,LCFS,"|160|"
281,1,DRAIN,"|154|"
282,1,DRAIN,"|154|"
283,1,DRAIN,"|154|"
284,1,DRAIN,"|154|"
285,1,DRAIN,"|154|"
286,1,DRAIN,"|154|"
287,1,DRAIN,"|154|"
288,1,LCFS,"|154|"
289,1,DRAIN,"|148|"
290,1,DRAIN,"|148|"
291,1,DRAIN,"|148|"
292,1,DRAIN,"|148|"
293,1,DRAIN,"|148|"
294,1,LCFS+BACKFILL,"|161|"
295,1,LCFS,"|162|"
296,1,BACKFILL,"|148|"
297,1,DRAIN,"|148|"
298,1,DRAIN,"|148|"
299,1,DRAIN,"|148|"
300,1,DRAIN,"|148|"
301,1,BACKFILL,"|148|"
302,1,LCFS,"|148|"
303,1,LCFS+BACKFILL,"|149|"
304,1,DRAIN,"|163|"
305,1,DRAIN,"|164|"
306,1,DRAIN,"|165|"
307,1,DRAIN,"|166|"
308,1,DRAIN,"|167|"
309,1,DRAIN,"|168|"
310,1,DRAIN,"|169|"
311,1,DRAIN,"|170|"
312,1,DRAIN,"|171|"
313,1,DRAIN,"|172|"
314,1,BACKFILL,"|172|"
315,1,BACKFILL,"|172|"
316,1,DRAIN,"|172|"
317,1,LCFS+BACKFILL,"|173|"
318,1,DRAIN,"|174|"
319,1,LCFS,"|174|"
320,1,DRAIN,"|172|"
321,1,LCFS,"|175|"
322,1,DRAIN,"|176|"
323,1,DRAIN,"|177|"
324,1,DRAIN,"|178|"
325,1,DRAIN,"|179|"
326,1,DRAIN,"|180|"
327,1,DRAIN,"|181|"
328,1,LCFS,"|181|"
329,1,LCFS+BACKFILL,"|180|"
330,1,DRAIN,"|172|"
331,1,DRAIN,"|172|"
332,1,BACKFILL,"|172|"
333,1,DRAIN,"|172|"
334,1,DRAIN,"|182|"
335,1,DRAIN,"|183|"
336,1,LCFS,"|184|"
337,1,DRAIN,"|183|"
338,1,LCFS,"|183|"
339,1,DRAIN,"|172|"
340,1,DRAIN,"|172|"
341,1,DRAIN,"|172|"
342,1,DRAIN,"|172|"
343,1,DRAIN,"|172|"
344,1,BACKFILL,"|172|"
345,1,DRAIN,"|172|"
346,1,DRAIN,"|172|"
347,1,DRAIN,"|172|"
348,1,BACKFILL,"|172|"
349,1,LCFS,"|185|"
350,1,DRAIN,"|172|"
351,1,BACKFILL,"|172|"
352,1,DRAIN,"|186|"
353,1,LCFS,"|186|"
354,1,DRAIN,"|172|"
355,1,DRAIN,"|172|"
356,1,DRAIN,"|172|"
357,1,DRAIN,"|172|"
358,1,DRAIN,"|172|"
359,1,DRAIN,"|172|"
360,1,DRAIN,"|172|"
361,1,LCFS,"|172|"
362,1,LCFS,"|171|"
363,1,LCFS,"|170|"
364,1,DRAIN,"|187|"
365,1,DRAIN,"|188|"
366,1,LCFS+BACKFILL,"|188|"
367,1,DRAIN,"|168|"
368,1,DRAIN,"|189|"
369,1,DRAIN,"|189|"
370,1,DRAIN,"|190|"
371,1,LCFS,"|191|"
372,1,DRAIN,"|190|"
373,1,LCFS,"|190|"
374,1,DRAIN,"|147|"
375,1,LCFS,"|192|"
376,1,LCFS,"|193|"
377,1,DRAIN,"|147|"
378,1,LCFS,"|194|"
379,1,DRAIN,"|147|"
380,1,LCFS,"|195|"
381,1,DRAIN,"|196|"
382,1,DRAIN,"|197|"
383,1,LCFS,"|198|"
384,1,LCFS,"|199|"
385,1,DRAIN,"|200|"
386,1,DRAIN,"|201|"
387,1,DRAIN,"|201|"
388,1,LCFS,"|201|"
389,1,LCFS,"|200|"
390,1,LCFS,"|202|"
391,1,DRAIN,"|203|"
392,1,LCFS,"|203|"
393,1,LCFS,"|197|"
394,1,LCFS,"|196|"
395,1,DRAIN,"|147|"
396,1,DRAIN,"|147|"
397,1,DRAIN,"|204|"
398,1,LCFS,"|204|"
