tag,jobs_completed,makespan_s,wait_avg,wait_min,wait_p25,wait_p50,wait_p75,wait_p80,wait_p90,wait_p95,wait_p99,wait_max,bsld_avg,bsld_min,bsld_p25,bsld_p50,bsld_p75,bsld_p80,bsld_p90,bsld_p95,bsld_p99,bsld_max,total_util
FCFS,34696,37126044,134058.46,0.00,6831.75,61995.00,200301.25,241013.00,380003.00,515052.00,761808.45,1368773.00,20.74,1.00,2.18,9.60,25.66,31.70,52.30,76.05,145.65,614.02,0.8548
SJF-w2,34696,37135316,121473.94,0.00,10150.00,54461.50,174223.25,212531.00,335705.50,456061.00,744134.90,1485030.00,19.00,1.00,2.71,9.57,22.37,27.18,45.80,71.24,139.91,560.14,0.8546
SJF-w4,34696,37120254,106849.07,0.00,4822.00,39107.00,140950.25,185283.00,319335.50,451511.25,704394.65,1545934.00,16.55,1.00,1.79,6.93,19.24,23.87,39.89,62.77,133.43,512.32,0.8549
SJF-w8,34696,37165937,97354.85,0.00,3247.25,35420.50,126335.00,163848.00,281363.00,403016.50,674657.30,2944116.00,14.84,1.00,1.54,6.00,17.11,21.38,37.15,57.43,120.10,519.07,0.8539
SJF-w16,34696,37431658,113918.04,0.00,3663.00,26520.00,137919.75,188521.00,338417.50,500825.75,890345.40,3772425.00,15.69,1.00,1.64,5.61,17.64,22.40,40.06,62.61,144.88,436.30,0.8478
SJF-w32,34696,37644786,110414.57,0.00,1883.00,17424.00,93645.50,146492.00,301706.00,473863.50,1363218.10,4790414.00,14.47,1.00,1.30,3.68,14.98,19.20,39.62,68.92,135.57,315.84,0.8430
SJF-w64,34696,38473130,129612.72,0.00,358.75,7226.50,45409.50,74657.00,281681.50,692010.75,1876514.20,11157312.00,13.60,1.00,1.07,2.09,7.59,11.66,34.99,74.03,195.31,512.49,0.8249
SJF-w128,34696,39873111,72466.17,0.00,0.00,1607.00,8629.00,12102.00,31217.50,57368.50,1020024.35,24243678.00,2.88,1.00,1.00,1.29,2.19,2.55,4.13,6.74,29.75,281.60,0.7959
SJF-w256,34696,39869947,71871.20,0.00,0.00,1438.50,8319.00,11931.00,30664.50,55924.25,1011313.20,24240514.00,2.84,1.00,1.00,1.27,2.14,2.51,4.06,6.55,31.65,281.56,0.7960
SJF-w512,34696,39869947,71871.20,0.00,0.00,1438.50,8319.00,11931.00,30664.50,55924.25,1011313.20,24240514.00,2.84,1.00,1.00,1.27,2.14,2.51,4.06,6.55,31.65,281.56,0.7960
SJF-w1024,34696,39869947,71871.20,0.00,0.00,1438.50,8319.00,11931.00,30664.50,55924.25,1011313.20,24240514.00,2.84,1.00,1.00,1.27,2.14,2.51,4.06,6.55,31.65,281.56,0.7960
LJF-w2,34696,37133307,119975.60,0.00,6736.50,51946.50,172290.00,208256.00,320786.50,465620.75,792314.65,7956613.00,19.18,1.00,2.06,8.29,22.59,27.62,49.03,72.73,135.22,4421.34,0.8546
LJF-w4,34696,37129169,118858.51,0.00,7048.25,55682.50,171921.75,206815.00,319041.00,432652.50,698550.35,8027371.00,19.98,1.00,2.11,8.72,22.69,27.68,47.95,73.30,135.12,4460.65,0.8547
LJF-w8,34696,37128759,123306.85,0.00,7313.50,57435.00,172149.50,207623.00,314418.50,457863.75,719944.05,15535631.00,21.67,1.00,2.17,8.75,22.78,27.93,48.35,70.75,137.30,8631.91,0.8547
LJF-w16,34696,37119499,129557.15,0.00,7813.00,56698.00,178812.25,212386.00,308053.00,428399.25,741067.05,18168940.00,24.77,1.00,2.26,8.84,22.85,28.35,49.38,76.51,144.55,10094.86,0.8549
LJF-w32,34696,37121293,147850.90,0.00,6530.25,62668.50,194335.50,233869.00,332358.50,472594.25,827379.95,19991181.00,29.61,1.00,2.00,9.61,26.42,32.73,57.77,84.31,179.54,11107.21,0.8549
LJF-w64,34696,37100882,178120.65,0.00,17491.25,80596.00,207491.00,247898.00,369103.00,493767.50,1021049.20,19991181.00,38.01,1.00,3.48,11.99,32.69,39.50,70.07,112.10,261.07,11107.21,0.8554
LJF-w128,34696,37095415,184594.26,0.00,4715.00,63096.50,203691.50,247683.00,381219.50,557655.50,1896899.05,20063575.00,41.99,1.00,1.65,9.26,32.08,41.38,82.43,133.60,427.80,11147.43,0.8555
LJF-w256,34696,37097651,228273.02,0.00,3328.00,73560.50,265691.75,322168.00,540370.00,760839.00,2168487.65,20059181.00,56.27,1.00,1.43,9.39,42.97,59.81,131.08,243.88,542.89,11144.99,0.8554
LJF-w512,34696,37097789,293737.14,0.00,2747.75,73002.50,331260.25,442997.00,772490.50,1138962.25,2654404.70,20000327.00,81.22,1.00,1.30,9.84,54.23,73.92,178.88,381.31,1214.33,11112.29,0.8554
LJF-w1024,34696,37097456,357617.07,0.00,2925.50,73111.00,399028.00,542209.00,1043300.50,1472493.25,3553402.10,17367922.00,99.56,1.00,1.30,9.84,71.75,92.58,230.73,520.66,1543.61,9649.85,0.8554
SRF-w2,34696,37117776,126143.13,0.00,9572.50,61681.00,165177.25,210512.00,358250.00,496030.75,741270.80,3007100.00,20.76,1.00,2.52,9.84,24.67,30.93,51.00,73.76,158.76,786.92,0.8550
SRF-w4,34696,37124725,143792.62,0.00,11257.25,80823.50,208032.75,240862.00,377952.00,500077.25,789765.30,4177113.00,23.95,1.00,2.92,11.85,26.98,33.19,55.28,88.52,200.83,1950.51,0.8548
SRF-w8,34696,37190344,123464.78,0.00,6288.50,57545.50,168810.50,198711.00,324011.50,480382.00,715864.10,6351864.00,20.39,1.00,1.98,9.02,23.50,28.90,48.15,68.75,155.92,3529.81,0.8533
SRF-w16,34696,37140978,127072.18,0.00,3553.00,42510.00,155035.00,203381.00,344046.00,494740.75,831590.65,7401658.00,21.71,1.00,1.57,7.07,21.72,26.71,48.64,78.56,178.77,4028.69,0.8544
SRF-w32,34696,37619380,139118.92,0.00,3796.00,37819.00,145337.75,193620.00,359190.50,515591.25,832907.00,14965084.00,24.22,1.00,1.60,6.53,22.60,28.59,48.61,75.40,172.42,8314.94,0.8436
SRF-w64,34696,38358473,122051.18,0.00,19.75,9328.50,60881.25,101530.00,253800.00,372768.50,779328.70,20580579.00,21.80,1.00,1.00,2.29,11.06,15.83,31.13,54.40,147.01,11243.62,0.8273
SRF-w128,34696,39275846,90349.23,0.00,0.00,920.00,8164.50,11838.00,30482.00,63417.00,1016984.70,26975973.00,16.58,1.00,1.00,1.14,2.12,2.67,5.20,10.48,76.63,13427.23,0.8080
SRF-w256,34696,39317700,89095.55,0.00,0.00,817.00,7037.25,10322.00,26048.50,52429.75,1039204.25,27017827.00,16.35,1.00,1.00,1.12,2.00,2.44,4.62,8.65,63.03,13450.48,0.8071
SRF-w512,34696,39317700,89095.55,0.00,0.00,817.00,7037.25,10322.00,26048.50,52429.75,1039204.25,27017827.00,16.35,1.00,1.00,1.12,2.00,2.44,4.62,8.65,63.03,13450.48,0.8071
SRF-w1024,34696,39317700,89095.55,0.00,0.00,817.00,7037.25,10322.00,26048.50,52429.75,1039204.25,27017827.00,16.35,1.00,1.00,1.12,2.00,2.44,4.62,8.65,63.03,13450.48,0.8071
LRF-w2,34696,37128254,139183.85,0.00,7908.75,60818.00,200797.25,242499.00,402672.50,544570.50,883241.10,1437903.00,21.58,1.00,2.31,9.58,26.40,32.63,56.10,83.16,151.97,580.72,0.8547
LRF-w4,34696,37131523,137081.44,0.00,8955.25,63879.50,210838.50,245164.00,381853.50,509176.25,759527.30,1346910.00,22.04,1.00,2.49,10.08,26.12,31.88,57.83,88.80,162.14,545.38,0.8547
LRF-w8,34696,37115522,142964.03,0.00,10607.00,69143.50,212716.00,244175.00,389248.50,531222.25,871373.10,1672215.00,23.17,1.00,2.69,11.04,27.20,33.24,59.49,87.81,164.00,510.20,0.8550
LRF-w16,34696,37112730,154509.95,0.00,10260.00,79204.00,219663.50,262474.00,422715.00,552840.00,923686.15,1500575.00,25.35,1.00,2.63,11.43,30.54,38.17,67.52,99.68,190.31,461.64,0.8551
LRF-w32,34696,37113359,174963.52,0.00,12682.25,92508.00,254164.00,302317.00,487771.00,620568.75,935656.90,1870058.00,28.79,1.00,2.92,14.57,35.55,43.40,72.68,107.37,219.52,451.02,0.8551
LRF-w64,34696,37107796,188505.23,0.00,11984.50,105482.50,256368.50,321138.00,506223.00,686342.00,1116264.75,2000565.00,31.13,1.00,2.88,15.01,39.19,48.16,80.59,115.85,234.32,621.57,0.8552
LRF-w128,34696,37105783,212239.81,0.00,11512.75,125769.00,293293.75,354091.00,551715.00,778416.50,1289886.70,2504085.00,35.91,1.00,2.62,17.20,48.76,59.79,95.37,132.85,237.04,559.59,0.8553
LRF-w256,34696,37102174,251040.95,0.00,10165.25,115326.50,351108.50,435012.00,674433.00,943822.25,1821295.50,2404803.00,42.61,1.00,2.37,16.43,58.68,72.98,116.64,171.42,293.05,490.11,0.8553
LRF-w512,34696,37098913,356474.56,0.00,8663.25,111486.00,440507.25,561854.00,1033744.00,1633031.00,3027148.35,3963233.00,55.70,1.00,2.17,16.62,71.62,97.65,164.51,245.14,405.81,552.40,0.8554
LRF-w1024,34696,37098078,403140.88,0.00,7675.75,94569.50,430689.00,580704.00,1310744.50,2129809.00,3725100.90,4403864.00,63.41,1.00,1.99,15.37,73.97,98.34,190.95,301.76,552.17,853.89,0.8554
SCF-w2,34696,37122608,117703.64,0.00,7503.25,52722.50,169423.00,202696.00,314867.50,470552.25,736533.05,4578362.00,18.70,1.00,2.23,8.55,21.88,27.01,47.20,68.22,139.62,587.71,0.8549
SCF-w4,34696,37131878,119007.93,0.00,6179.00,47724.00,167935.25,207346.00,336554.50,432331.00,730900.00,7323019.00,18.86,1.00,1.97,7.95,21.94,27.60,48.21,72.42,141.74,534.68,0.8547
SCF-w8,34696,37258546,138084.88,0.00,6926.50,54319.50,196153.25,239245.00,377541.00,517038.75,823455.05,10035898.00,21.23,1.00,2.03,9.30,26.02,32.32,54.13,77.41,161.95,592.55,0.8517
SCF-w16,34696,37610315,123539.75,0.00,3409.75,34985.00,139370.50,197607.00,362951.00,495495.00,767325.80,15672550.00,18.74,1.00,1.54,6.14,19.37,25.73,49.34,82.66,172.95,457.19,0.8438
SCF-w32,34696,38317141,102656.07,0.00,627.75,16005.50,76197.00,111629.00,240720.00,387970.00,764661.80,23348585.00,12.76,1.00,1.10,3.21,12.68,17.32,34.66,56.85,125.10,453.56,0.8282
SCF-w64,34696,39190919,85438.68,0.00,0.00,3987.00,24826.25,37428.00,101044.50,249347.25,568334.55,32883544.00,6.71,1.00,1.00,1.63,4.48,6.07,14.83,29.81,82.82,381.60,0.8098
SCF-w128,34696,40213839,74663.62,0.00,0.00,704.00,6365.00,9407.00,26777.00,55284.25,718067.35,34222983.00,3.32,1.00,1.00,1.13,1.91,2.25,3.79,6.55,33.11,1507.46,0.7892
SCF-w256,34696,40231155,75019.46,0.00,0.00,724.50,6180.50,9176.00,26025.50,54718.50,742350.65,34240299.00,3.27,1.00,1.00,1.13,1.91,2.22,3.67,6.18,33.25,1507.46,0.7888
SCF-w512,34696,40231155,75019.46,0.00,0.00,724.50,6180.50,9176.00,26025.50,54718.50,742350.65,34240299.00,3.27,1.00,1.00,1.13,1.91,2.22,3.67,6.18,33.25,1507.46,0.7888
SCF-w1024,34696,40231155,75019.46,0.00,0.00,724.50,6180.50,9176.00,26025.50,54718.50,742350.65,34240299.00,3.27,1.00,1.00,1.13,1.91,2.22,3.67,6.18,33.25,1507.46,0.7888
LCF-w2,34696,37131876,126832.36,0.00,7798.50,58304.50,188864.00,226075.00,343928.00,484305.00,757317.05,1655120.00,20.38,1.00,2.31,9.18,24.04,29.52,50.88,77.60,150.14,920.51,0.8547
LCF-w4,34696,37136580,128088.83,0.00,8152.00,62436.00,190799.00,225182.00,337891.00,476489.00,784304.85,2353357.00,20.87,1.00,2.36,9.38,24.55,30.63,53.76,80.00,142.84,1308.42,0.8545
LCF-w8,34696,37124168,133743.48,0.00,7942.75,59548.50,191992.25,223446.00,377705.00,532491.75,770609.95,4422333.00,21.93,1.00,2.34,9.14,25.85,31.73,56.73,80.78,153.65,1777.22,0.8548
LCF-w16,34696,37127528,142804.50,0.00,8225.75,63474.50,212668.00,250042.00,386161.50,534583.25,876842.15,5485480.00,24.99,1.00,2.24,10.05,27.09,34.08,63.40,98.58,198.54,3048.49,0.8548
LCF-w32,34696,37122693,172140.46,0.00,11459.00,84271.00,246589.00,298192.00,450826.00,602041.50,1002782.55,5797605.00,31.01,1.00,2.76,12.58,35.01,42.56,76.48,117.64,225.47,3221.89,0.8549
LCF-w64,34696,37103600,200420.29,0.00,11576.50,104267.00,292668.50,353214.00,524086.00,688984.25,1058336.90,5751352.00,38.15,1.00,2.61,14.93,43.80,55.20,97.95,152.93,280.52,3196.20,0.8553
LCF-w128,34696,37101544,230065.54,0.00,11278.75,130591.00,332504.00,399378.00,621766.50,807451.25,1213556.35,5686925.00,49.54,1.00,2.36,16.51,54.32,67.51,124.26,211.98,457.00,3160.40,0.8554
LCF-w256,34696,37094369,284910.99,0.00,9879.50,150313.50,415974.25,518502.00,777816.50,1028842.75,1645991.80,7724599.00,70.84,1.00,2.19,17.37,68.80,87.75,186.96,346.22,712.05,4292.44,0.8555
LCF-w512,34696,37090422,397817.02,0.00,10622.50,160157.50,580514.75,735115.00,1070649.50,1527990.25,2792995.65,7496037.00,92.05,1.00,2.17,21.83,92.51,122.89,258.38,463.78,813.87,4165.47,0.8556
LCF-w1024,34696,37090051,552976.31,0.00,9190.25,156316.50,690226.50,892547.00,1780843.50,2588511.50,3882464.55,5762715.00,150.51,1.00,1.92,20.88,123.52,173.09,369.22,759.90,2062.34,3020.41,0.8556
LCFS-w2,34696,37124318,117799.59,0.00,6453.75,51817.50,169543.75,204138.00,319991.50,456391.00,706413.80,20640982.00,18.99,1.00,2.08,8.09,22.28,27.89,48.35,74.69,139.97,669.75,0.8548
LCFS-w4,34696,37130780,119430.53,0.00,7211.25,55324.00,169262.00,203197.00,311585.00,458819.75,700112.95,29803517.00,19.14,1.00,2.18,8.57,22.49,28.16,48.27,72.85,139.33,669.75,0.8547
LCFS-w8,34696,37197223,114648.78,0.00,6463.75,42553.50,145976.50,183721.00,313863.50,460621.25,718997.00,29944219.00,17.98,1.00,1.99,7.07,19.72,24.67,44.83,66.93,139.97,14341.11,0.8532
LCFS-w16,34696,37297996,130671.06,0.00,3852.25,48229.50,159648.50,193931.00,334259.50,496245.50,805588.10,33020674.00,20.14,1.00,1.64,8.15,21.77,27.10,46.28,71.17,156.35,16232.34,0.8508
LCFS-w32,34696,37631830,100784.89,0.00,811.00,20336.50,84677.00,122530.00,220416.00,330243.00,708698.05,33354508.00,15.59,1.00,1.12,3.82,13.47,17.30,30.15,54.93,121.04,13114.01,0.8433
LCFS-w64,34696,38121956,109584.84,0.00,99.00,8074.00,48641.25,72721.00,184112.00,339390.75,782744.55,33844634.00,15.83,1.00,1.02,2.23,8.48,11.55,24.39,45.69,132.18,16682.38,0.8325
LCFS-w128,34696,38777908,90869.75,0.00,0.00,894.00,9337.75,14667.00,39985.50,76517.25,511389.40,34500586.00,14.63,1.00,1.00,1.13,2.40,3.11,6.29,12.23,46.25,17038.03,0.8184
LCFS-w256,34696,39133173,96961.26,0.00,0.00,719.00,7977.50,12855.00,38264.00,72831.00,579312.85,34855851.00,14.44,1.00,1.00,1.10,2.17,2.81,6.25,12.54,43.77,17230.40,0.8109
LCFS-w512,34696,39133173,96961.26,0.00,0.00,719.00,7977.50,12855.00,38264.00,72831.00,579312.85,34855851.00,14.44,1.00,1.00,1.10,2.17,2.81,6.25,12.54,43.77,17230.40,0.8109
LCFS-w1024,34696,39133173,96961.26,0.00,0.00,719.00,7977.50,12855.00,38264.00,72831.00,579312.85,34855851.00,14.44,1.00,1.00,1.10,2.17,2.81,6.25,12.54,43.77,17230.40,0.8109
WFP3-w2,34696,37120169,134577.21,0.00,7828.25,60909.50,194052.00,239198.00,389234.50,530204.75,793939.15,1538453.00,21.17,1.00,2.27,9.53,25.76,31.46,52.60,79.82,158.23,588.46,0.8549
WFP3-w4,34696,37124870,124366.35,0.00,6809.00,47877.00,169512.50,214048.00,382946.00,524130.50,771097.70,1536129.00,18.52,1.00,2.08,8.12,22.35,28.37,48.66,67.65,133.21,550.07,0.8548
WFP3-w8,34696,37126398,107693.56,0.00,6628.75,44140.00,138307.25,169915.00,325929.50,442220.25,722113.75,1547525.00,15.73,1.00,2.18,7.57,19.60,24.42,38.30,55.21,105.53,523.75,0.8548
WFP3-w16,34696,37133340,92712.43,0.00,10180.00,42580.50,108685.25,139267.00,263359.50,362839.00,685880.45,2240392.00,13.70,1.00,2.77,7.31,15.97,19.35,30.04,44.80,112.94,462.64,0.8546
WFP3-w32,34696,37154869,92393.35,0.00,9653.75,38686.50,96161.00,128935.00,264468.00,376255.75,774562.55,2288795.00,12.12,1.00,2.70,7.00,14.87,17.79,26.84,37.69,85.68,347.73,0.8541
WFP3-w64,34696,37145201,83900.94,0.00,8220.75,34024.50,89226.75,112276.00,205721.50,335270.00,791776.85,2570891.00,9.99,1.00,2.68,6.44,12.16,14.23,20.81,28.87,72.12,219.99,0.8543
