cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,F3,"|0|"
2,1,F3,"|1|"
3,1,F3,"|2|"
4,1,NONE,""
5,1,NONE,""
6,1,NONE,""
7,1,F3,"|3|"
8,1,NONE,""
9,1,F3,"|4|"
10,1,F3,"|5|"
11,1,NONE,""
12,1,NONE,""
13,1,F3,"|6|"
14,1,F3,"|7|"
15,1,NONE,""
16,1,F3,"|8|"
17,1,NONE,""
18,1,F3,"|9|"
19,1,F3,"|10|"
20,1,F3,"|11|"
21,1,F3,"|12|"
22,1,F3,"|13|"
23,1,F3,"|14|"
24,1,F3,"|15|"
25,1,F3,"|16|"
26,1,F3,"|17|"
27,1,F3,"|18|"
28,1,F3,"|19|"
29,1,F3,"|20|"
30,1,F3,"|21|"
31,1,NONE,""
32,1,F3,"|22|"
33,1,NONE,""
34,1,NONE,""
35,1,F3,"|23|"
36,1,NONE,""
37,1,F3,"|24|"
38,1,NONE,""
39,1,F3,"|25|"
40,1,DRAIN,"|26|"
41,1,F3,"|26|"
42,1,NONE,""
43,1,NONE,""
44,1,NONE,""
45,1,NONE,""
46,1,NONE,""
47,1,NONE,""
48,1,NONE,""
49,1,NONE,""
50,1,NONE,""
51,1,NONE,""
52,1,F3,"|27|"
53,1,NONE,""
54,1,F3,"|28|"
55,1,NONE,""
56,1,F3,"|29|"
57,1,NONE,""
58,1,F3,"|30|"
59,1,F3,"|31|"
60,1,NONE,""
61,1,F3,"|32|"
62,1,NONE,""
63,1,F3,"|33|"
64,1,F3,"|34|"
65,1,F3,"|35|"
66,1,F3,"|36|"
67,1,NONE,""
68,1,NONE,""
69,1,F3,"|37|"
70,1,F3,"|38|"
71,1,NONE,""
72,1,F3,"|39|"
73,1,DRAIN,"|40|"
74,1,F3,"|40|"
75,1,NONE,""
76,1,NONE,""
77,1,NONE,""
78,1,F3,"|41|"
79,1,F3,"|42|"
80,1,F3,"|43|"
81,1,NONE,""
82,1,F3,"|44|"
83,1,NONE,""
84,1,NONE,""
85,1,F3,"|45|"
86,1,NONE,""
87,1,F3,"|46|"
88,1,F3,"|47|"
89,1,NONE,""
90,1,NONE,""
91,1,NONE,""
92,1,NONE,""
93,1,NONE,""
94,1,NONE,""
95,1,NONE,""
96,1,F3,"|48|"
97,1,F3,"|49|"
98,1,NONE,""
99,1,NONE,""
100,1,F3,"|50|"
101,1,NONE,""
102,1,F3,"|51|"
103,1,NONE,""
104,1,F3,"|52|"
105,1,NONE,""
106,1,F3,"|53|"
107,1,NONE,""
108,1,F3,"|54|"
109,1,F3,"|55|"
110,1,F3,"|56|"
111,1,F3,"|57|"
112,1,F3,"|58|"
113,1,NONE,""
114,1,DRAIN,"|59|"
115,1,F3,"|60|"
116,1,F3,"|61|"
117,1,F3,"|59|"
118,1,NONE,""
119,1,DRAIN,"|62|"
120,1,F3,"|63|"
121,1,F3,"|64|"
122,1,DRAIN,"|62|"
123,1,DRAIN,"|62|"
124,1,DRAIN,"|62|"
125,1,F3,"|65|"
126,1,F3,"|66|"
127,1,F3,"|67|"
128,1,F3,"|68|"
129,1,F3,"|69|"
130,1,DRAIN,"|62|"
131,1,F3,"|70|"
132,1,DRAIN,"|62|"
133,1,F3,"|71|"
134,1,DRAIN,"|62|"
135,1,DRAIN,"|62|"
136,1,F3,"|62|"
137,1,F3,"|72|"
138,1,DRAIN,"|73|"
139,1,F3,"|73|"
140,1,NONE,""
141,1,DRAIN,"|74|"
142,1,DRAIN,"|74|"
143,1,DRAIN,"|74|"
144,1,DRAIN,"|74|"
145,1,F3,"|78|"
146,1,DRAIN,"|74|"
147,1,F3,"|74|"
148,1,DRAIN,"|76|"
149,1,F3,"|76|"
150,1,DRAIN,"|80|"
151,1,F3,"|81|"
152,1,DRAIN,"|80|"
153,1,DRAIN,"|80|"
154,1,F3,"|80|"
155,1,DRAIN,"|75|"
156,1,DRAIN,"|75|"
157,1,F3,"|75|"
158,1,DRAIN,"|79|"
159,1,DRAIN,"|83|"
160,1,F3,"|84|"
161,1,DRAIN,"|83|"
162,1,DRAIN,"|85|"
163,1,DRAIN,"|85|"
164,1,DRAIN,"|85|"
165,1,F3,"|85|"
166,1,F3,"|87|"
167,1,F3,"|88|"
168,1,DRAIN,"|83|"
169,1,F3,"|83|"
170,1,F3,"|89|"
171,1,DRAIN,"|90|"
172,1,F3,"|90|"
173,1,DRAIN,"|79|"
174,1,F3,"|79|"
175,1,DRAIN,"|82|"
176,1,DRAIN,"|82|"
177,1,F3,"|82|"
178,1,NONE,""
179,1,F3,"|91|"
180,1,NONE,""
181,1,NONE,""
182,1,NONE,""
183,1,F3,"|92|"
184,1,NONE,""
185,1,NONE,""
186,1,F3,"|93|"
187,1,NONE,""
188,1,F3,"|94|"
189,1,NONE,""
190,1,F3,"|95|"
191,1,NONE,""
192,1,F3,"|96|"
193,1,F3,"|97|"
194,1,F3,"|98|"
195,1,NONE,""
196,1,F3,"|99|"
197,1,NONE,""
198,1,NONE,""
199,1,F3,"|100|"
200,1,NONE,""
201,1,F3,"|101|"
202,1,F3,"|102|"
203,1,F3,"|103|"
204,1,F3,"|104|"
205,1,NONE,""
206,1,F3,"|105|"
207,1,F3,"|106|"
208,1,NONE,""
209,1,F3,"|107|"
210,1,NONE,""
211,1,NONE,""
212,1,NONE,""
213,1,NONE,""
214,1,NONE,""
215,1,NONE,""
216,1,NONE,""
217,1,F3,"|108|"
218,1,F3,"|109|"
219,1,F3,"|110|"
220,1,F3,"|111|"
221,1,F3,"|112|"
222,1,NONE,""
223,1,NONE,""
224,1,F3,"|113|"
225,1,NONE,""
226,1,F3,"|114|"
227,1,F3,"|115|"
228,1,F3,"|116|"
229,1,F3,"|117|"
230,1,DRAIN,"|118|"
231,1,DRAIN,"|119|"
232,1,DRAIN,"|119|"
233,1,F3,"|121|"
234,1,DRAIN,"|122|"
235,1,DRAIN,"|122|"
236,1,DRAIN,"|122|"
237,1,F3,"|122|"
238,1,F3,"|123|"
239,1,DRAIN,"|124|"
240,1,DRAIN,"|124|"
241,1,DRAIN,"|124|"
242,1,DRAIN,"|127|"
243,1,F3,"|127|"
244,1,BACKFILL,"|119|"
245,1,F3,"|119|"
246,1,DRAIN,"|120|"
247,1,F3,"|120|"
248,1,DRAIN,"|118|"
249,1,F3,"|118|"
250,1,DRAIN,"|128|"
251,1,DRAIN,"|128|"
252,1,DRAIN,"|130|"
253,1,DRAIN,"|130|"
254,1,F3,"|130|"
255,1,DRAIN,"|131|"
256,1,DRAIN,"|131|"
257,1,F3,"|131|"
258,1,DRAIN,"|128|"
259,1,F3,"|128|"
260,1,F3,"|129|"
261,1,NONE,""
262,1,NONE,""
263,1,NONE,""
264,1,F3,"|132|"
265,1,F3,"|133|"
266,1,F3,"|134|"
267,1,F3,"|135|"
268,1,F3,"|136|"
269,1,F3,"|137|"
270,1,F3,"|138|"
271,1,F3,"|139|"
272,1,F3,"|140|"
273,1,F3,"|141|"
274,1,NONE,""
275,1,F3,"|142|"
276,1,F3,"|143|"
277,1,NONE,""
278,1,F3,"|144|"
279,1,NONE,""
280,1,NONE,""
281,1,NONE,""
282,1,NONE,""
283,1,NONE,""
284,1,NONE,""
285,1,NONE,""
286,1,NONE,""
287,1,NONE,""
288,1,F3,"|145|"
289,1,F3,"|146|"
290,1,NONE,""
291,1,NONE,""
292,1,F3,"|147|"
293,1,NONE,""
294,1,F3,"|148|"
295,1,F3,"|149|"
296,1,NONE,""
297,1,F3,"|150|"
298,1,F3,"|151|"
299,1,NONE,""
300,1,F3,"|152|"
301,1,F3,"|153|"
302,1,F3,"|154|"
303,1,NONE,""
304,1,NONE,""
305,1,F3,"|155|"
306,1,NONE,""
307,1,F3,"|156|"
308,1,NONE,""
309,1,NONE,""
310,1,F3,"|157|"
311,1,F3,"|158|"
312,1,NONE,""
313,1,NONE,""
314,1,NONE,""
315,1,F3,"|159|"
316,1,NONE,""
317,1,NONE,""
318,1,NONE,""
319,1,F3,"|160|"
320,1,F3,"|161|"
321,1,F3,"|162|"
322,1,NONE,""
323,1,NONE,""
324,1,F3,"|163|"
325,1,NONE,""
326,1,F3,"|164|"
327,1,NONE,""
328,1,F3,"|165|"
329,1,NONE,""
330,1,F3,"|166|"
331,1,F3,"|167|"
332,1,NONE,""
333,1,F3,"|168|"
334,1,NONE,""
335,1,F3,"|169|"
336,1,NONE,""
337,1,F3,"|170|"
338,1,NONE,""
339,1,F3,"|171|"
340,1,NONE,""
341,1,NONE,""
342,1,NONE,""
343,1,F3,"|172|"
344,1,F3,"|173|"
345,1,F3,"|174|"
346,1,NONE,""
347,1,NONE,""
348,1,F3,"|175|"
349,1,F3,"|176|"
350,1,NONE,""
351,1,NONE,""
352,1,NONE,""
353,1,F3,"|177|"
354,1,NONE,""
355,1,F3,"|178|"
356,1,F3,"|179|"
357,1,F3,"|180|"
358,1,NONE,""
359,1,NONE,""
360,1,F3,"|181|"
361,1,F3,"|182|"
362,1,NONE,""
363,1,F3,"|183|"
364,1,NONE,""
365,1,F3,"|184|"
366,1,NONE,""
367,1,NONE,""
368,1,NONE,""
369,1,F3,"|185|"
370,1,F3,"|186|"
371,1,NONE,""
372,1,F3,"|187|"
373,1,NONE,""
374,1,F3,"|188|"
375,1,F3,"|189|"
376,1,NONE,""
377,1,F3,"|190|"
378,1,F3,"|191|"
379,1,NONE,""
380,1,NONE,""
381,1,NONE,""
382,1,F3,"|192|"
383,1,NONE,""
384,1,NONE,""
385,1,F3,"|193|"
386,1,F3,"|194|"
387,1,NONE,""
388,1,F3,"|195|"
389,1,NONE,""
390,1,F3,"|196|"
391,1,F3,"|197|"
392,1,NONE,""
393,1,NONE,""
394,1,F3,"|198|"
395,1,F3,"|199|"
396,1,F3,"|200|"
397,1,F3,"|201|"
398,1,F3,"|202|"
399,1,F3,"|203|"
400,1,F3,"|204|"
401,1,F3,"|205|"
402,1,F3,"|206|"
403,1,F3,"|207|"
404,1,F3,"|208|"
405,1,F3,"|209|"
406,1,F3,"|210|"
407,1,F3,"|211|"
408,1,F3,"|212|"
409,1,F3,"|213|"
410,1,NONE,""
411,1,F3,"|214|"
412,1,NONE,""
413,1,F3,"|215|"
414,1,NONE,""
415,1,F3,"|216|"
416,1,NONE,""
417,1,NONE,""
418,1,NONE,""
419,1,F3,"|217|"
420,1,NONE,""
421,1,NONE,""
422,1,NONE,""
423,1,F3,"|218|"
424,1,NONE,""
425,1,NONE,""
426,1,NONE,""
427,1,NONE,""
428,1,F3,"|219|"
429,1,NONE,""
430,1,NONE,""
431,1,NONE,""
432,1,NONE,""
433,1,F3,"|220|"
434,1,NONE,""
435,1,NONE,""
436,1,NONE,""
437,1,F3,"|221|"
438,1,NONE,""
439,1,NONE,""
440,1,NONE,""
441,1,F3,"|222|"
442,1,NONE,""
443,1,F3,"|223|"
444,1,NONE,""
445,1,F3,"|224|"
446,1,NONE,""
447,1,NONE,""
448,1,F3,"|225|"
449,1,NONE,""
450,1,NONE,""
451,1,F3,"|226|"
452,1,NONE,""
453,1,F3,"|227|"
454,1,NONE,""
455,1,F3,"|228|"
456,1,NONE,""
457,1,F3,"|229|"
458,1,NONE,""
459,1,F3,"|230|"
460,1,NONE,""
461,1,F3,"|231|"
462,1,NONE,""
463,1,F3,"|232|"
464,1,NONE,""
465,1,F3,"|233|"
466,1,NONE,""
467,1,F3,"|234|"
468,1,F3,"|235|"
469,1,NONE,""
470,1,F3,"|236|"
471,1,NONE,""
472,1,F3,"|237|"
473,1,NONE,""
474,1,NONE,""
475,1,NONE,""
476,1,NONE,""
477,1,F3,"|239|"
478,1,NONE,""
479,1,F3,"|240|"
480,1,NONE,""
481,1,F3,"|242|"
482,1,NONE,""
483,1,NONE,""
484,1,F3,"|244|"
485,1,NONE,""
486,1,F3,"|245|"
487,1,DRAIN,"|247|"
488,1,DRAIN,"|247|"
489,1,DRAIN,"|247|"
490,1,F3,"|248|"
491,1,F3,"|249|"
492,1,DRAIN,"|247|"
493,1,DRAIN,"|247|"
494,1,F3,"|247|"
495,1,NONE,""
496,1,NONE,""
497,1,NONE,""
498,1,F3,"|250|"
499,1,F3,"|251|"
500,1,NONE,""
501,1,F3,"|252|"
502,1,NONE,""
503,1,NONE,""
504,1,F3,"|253|"
505,1,NONE,""
506,1,F3,"|254|"
507,1,NONE,""
508,1,F3,"|255|"
509,1,F3,"|256|"
510,1,F3,"|257|"
511,1,F3,"|258|"
512,1,NONE,""
513,1,F3,"|259|"
514,1,F3,"|260|"
515,1,NONE,""
516,1,F3,"|261|"
517,1,F3,"|262|"
518,1,NONE,""
519,1,F3,"|263|"
520,1,NONE,""
521,1,NONE,""
522,1,NONE,""
523,1,F3,"|264|"
524,1,NONE,""
525,1,F3,"|265|"
526,1,F3,"|266|"
527,1,DRAIN,"|267|"
528,1,DRAIN,"|267|"
529,1,DRAIN,"|267|"
530,1,F3,"|267|"
531,1,NONE,""
532,1,F3,"|268|"
533,1,DRAIN,"|269|"
534,1,F3,"|269|"
535,1,NONE,""
536,1,F3,"|270|"
537,1,DRAIN,"|271|"
538,1,F3,"|271|"
539,1,DRAIN,"|272|"
540,1,F3,"|272|"
541,1,DRAIN,"|273|"
542,1,F3,"|273|"
543,1,NONE,""
544,1,F3,"|274|"
545,1,F3,"|275|"
546,1,DRAIN,"|276|"
547,1,F3,"|277|"
548,1,DRAIN,"|278|"
549,1,DRAIN,"|279|"
550,1,BACKFILL,"|279|"
551,1,F3,"|279|"
552,1,DRAIN,"|278|"
553,1,F3,"|281|"
554,1,DRAIN,"|278|"
555,1,F3,"|278|"
556,1,DRAIN,"|276|"
557,1,F3,"|282|"
558,1,F3,"|283|"
559,1,DRAIN,"|276|"
560,1,DRAIN,"|284|"
561,1,F3,"|285|"
562,1,DRAIN,"|284|"
563,1,DRAIN,"|284|"
564,1,DRAIN,"|284|"
565,1,F3,"|286|"
566,1,DRAIN,"|284|"
567,1,F3,"|287|"
568,1,F3,"|288|"
569,1,DRAIN,"|284|"
570,1,F3,"|289|"
571,1,DRAIN,"|284|"
572,1,DRAIN,"|284|"
