cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,LCFS,"|0|"
2,1,LCFS,"|1|"
3,1,LCFS,"|2|"
4,1,NONE,""
5,1,NONE,""
6,1,NONE,""
7,1,LCFS,"|3|"
8,1,NONE,""
9,1,LCFS,"|4|"
10,1,LCFS,"|5|"
11,1,NONE,""
12,1,NONE,""
13,1,LCFS,"|6|"
14,1,LCFS,"|7|"
15,1,NONE,""
16,1,LCFS,"|8|"
17,1,NONE,""
18,1,LCFS,"|9|"
19,1,LCFS,"|10|"
20,1,LCFS,"|11|"
21,1,LCFS,"|12|"
22,1,LCFS,"|13|"
23,1,LCFS,"|14|"
24,1,LCFS,"|15|"
25,1,LCFS,"|16|"
26,1,LCFS,"|17|"
27,1,LCFS,"|18|"
28,1,LCFS,"|19|"
29,1,LCFS,"|20|"
30,1,LCFS,"|21|"
31,1,NONE,""
32,1,LCFS,"|22|"
33,1,NONE,""
34,1,NONE,""
35,1,LCFS,"|23|"
36,1,NONE,""
37,1,LCFS,"|24|"
38,1,NONE,""
39,1,LCFS,"|25|"
40,1,DRAIN,"|26|"
41,1,LCFS,"|26|"
42,1,NONE,""
43,1,NONE,""
44,1,NONE,""
45,1,NONE,""
46,1,NONE,""
47,1,NONE,""
48,1,NONE,""
49,1,NONE,""
50,1,NONE,""
51,1,NONE,""
52,1,LCFS,"|27|"
53,1,NONE,""
54,1,LCFS,"|28|"
55,1,NONE,""
56,1,LCFS,"|29|"
57,1,NONE,""
58,1,LCFS,"|30|"
59,1,LCFS,"|31|"
60,1,NONE,""
61,1,LCFS,"|32|"
62,1,NONE,""
63,1,LCFS,"|33|"
64,1,LCFS,"|34|"
65,1,LCFS,"|35|"
66,1,LCFS,"|36|"
67,1,NONE,""
68,1,NONE,""
69,1,LCFS,"|37|"
70,1,LCFS,"|38|"
71,1,NONE,""
72,1,LCFS,"|39|"
73,1,DRAIN,"|40|"
74,1,LCFS,"|40|"
75,1,NONE,""
76,1,NONE,""
77,1,NONE,""
78,1,LCFS,"|41|"
79,1,LCFS,"|42|"
80,1,LCFS,"|43|"
81,1,NONE,""
82,1,LCFS,"|44|"
83,1,NONE,""
84,1,NONE,""
85,1,LCFS,"|45|"
86,1,NONE,""
87,1,LCFS,"|46|"
88,1,LCFS,"|47|"
89,1,NONE,""
90,1,NONE,""
91,1,NONE,""
92,1,NONE,""
93,1,NONE,""
94,1,NONE,""
95,1,NONE,""
96,1,LCFS,"|48|"
97,1,LCFS,"|49|"
98,1,NONE,""
99,1,NONE,""
100,1,LCFS,"|50|"
101,1,NONE,""
102,1,LCFS,"|51|"
103,1,NONE,""
104,1,LCFS,"|52|"
105,1,NONE,""
106,1,LCFS,"|53|"
107,1,NONE,""
108,1,LCFS,"|54|"
109,1,LCFS,"|55|"
110,1,LCFS,"|56|"
111,1,LCFS,"|57|"
112,1,LCFS,"|58|"
113,1,NONE,""
114,1,DRAIN,"|59|"
115,1,LCFS,"|60|"
116,1,LCFS,"|61|"
117,1,LCFS,"|59|"
118,1,NONE,""
119,1,DRAIN,"|62|"
120,1,LCFS,"|63|"
121,1,LCFS,"|64|"
122,1,DRAIN,"|62|"
123,1,DRAIN,"|62|"
124,1,DRAIN,"|62|"
125,1,LCFS,"|65|"
126,1,LCFS,"|66|"
127,1,LCFS,"|67|"
128,1,LCFS,"|68|"
129,1,LCFS,"|69|"
130,1,DRAIN,"|62|"
131,1,LCFS,"|70|"
132,1,DRAIN,"|62|"
133,1,LCFS,"|71|"
134,1,DRAIN,"|62|"
135,1,DRAIN,"|62|"
136,1,LCFS,"|62|"
137,1,LCFS,"|72|"
138,1,DRAIN,"|73|"
139,1,LCFS,"|73|"
140,1,NONE,""
141,1,DRAIN,"|74|"
142,1,DRAIN,"|75|"
143,1,DRAIN,"|75|"
144,1,DRAIN,"|75|"
145,1,DRAIN,"|75|"
146,1,DRAIN,"|75|"
147,1,LCFS,"|75|"
148,1,BACKFILL,"|77|"
149,1,LCFS,"|77|"
150,1,DRAIN,"|79|"
151,1,BACKFILL,"|79|"
152,1,DRAIN,"|79|"
153,1,DRAIN,"|79|"
154,1,LCFS,"|79|"
155,1,DRAIN,"|80|"
156,1,DRAIN,"|80|"
157,1,DRAIN,"|80|"
158,1,DRAIN,"|80|"
159,1,DRAIN,"|80|"
160,1,DRAIN,"|80|"
161,1,LCFS,"|80|"
162,1,BACKFILL,"|82|"
163,1,BACKFILL,"|82|"
164,1,DRAIN,"|82|"
165,1,DRAIN,"|82|"
166,1,LCFS,"|82|"
167,1,DRAIN,"|83|"
168,1,BACKFILL,"|83|"
169,1,DRAIN,"|83|"
170,1,DRAIN,"|83|"
171,1,BACKFILL,"|83|"
172,1,LCFS,"|83|"
173,1,LCFS,"|87|"
174,1,LCFS,"|90|"
175,1,DRAIN,"|88|"
176,1,LCFS,"|88|"
177,1,NONE,""
178,1,NONE,""
179,1,LCFS,"|91|"
180,1,NONE,""
181,1,NONE,""
182,1,LCFS,"|92|"
183,1,NONE,""
184,1,NONE,""
185,1,LCFS,"|93|"
186,1,NONE,""
187,1,LCFS,"|94|"
188,1,NONE,""
189,1,LCFS,"|95|"
190,1,NONE,""
191,1,LCFS,"|96|"
192,1,LCFS,"|97|"
193,1,LCFS,"|98|"
194,1,NONE,""
195,1,NONE,""
196,1,LCFS,"|99|"
197,1,NONE,""
198,1,NONE,""
199,1,LCFS,"|100|"
200,1,NONE,""
201,1,LCFS,"|101|"
202,1,LCFS,"|102|"
203,1,LCFS,"|103|"
204,1,LCFS,"|104|"
205,1,NONE,""
206,1,LCFS,"|105|"
207,1,LCFS,"|106|"
208,1,NONE,""
209,1,LCFS,"|107|"
210,1,NONE,""
211,1,NONE,""
212,1,NONE,""
213,1,NONE,""
214,1,NONE,""
215,1,NONE,""
216,1,NONE,""
217,1,LCFS,"|108|"
218,1,LCFS,"|109|"
219,1,LCFS,"|110|"
220,1,LCFS,"|111|"
221,1,LCFS,"|112|"
222,1,NONE,""
223,1,NONE,""
224,1,LCFS,"|113|"
225,1,NONE,""
226,1,LCFS,"|114|"
227,1,LCFS,"|115|"
228,1,LCFS,"|116|"
229,1,LCFS,"|117|"
230,1,DRAIN,"|118|"
231,1,DRAIN,"|119|"
232,1,DRAIN,"|119|"
233,1,DRAIN,"|119|"
234,1,DRAIN,"|119|"
235,1,LCFS,"|119|"
236,1,DRAIN,"|120|"
237,1,BACKFILL,"|120|"
238,1,DRAIN,"|120|"
239,1,BACKFILL,"|120|"
240,1,DRAIN,"|120|"
241,1,DRAIN,"|120|"
242,1,DRAIN,"|120|"
243,1,BACKFILL,"|120|"
244,1,LCFS,"|120|"
245,1,LCFS,"|121|"
246,1,LCFS,"|122|"
247,1,LCFS,"|126|"
248,1,DRAIN,"|118|"
249,1,DRAIN,"|118|"
250,1,LCFS,"|128|"
251,1,DRAIN,"|129|"
252,1,DRAIN,"|129|"
253,1,DRAIN,"|129|"
254,1,DRAIN,"|129|"
255,1,DRAIN,"|129|"
256,1,BACKFILL,"|129|"
257,1,DRAIN,"|129|"
258,1,DRAIN,"|129|"
259,1,LCFS,"|129|"
260,1,LCFS,"|118|"
261,1,NONE,""
262,1,NONE,""
263,1,LCFS,"|132|"
264,1,LCFS,"|133|"
265,1,LCFS,"|134|"
266,1,LCFS,"|135|"
267,1,LCFS,"|136|"
268,1,LCFS,"|137|"
269,1,LCFS,"|138|"
270,1,DRAIN,"|139|"
271,1,DRAIN,"|140|"
272,1,DRAIN,"|140|"
273,1,LCFS,"|140|"
274,1,NONE,""
275,1,LCFS,"|142|"
276,1,LCFS,"|143|"
277,1,NONE,""
278,1,LCFS,"|144|"
279,1,NONE,""
280,1,NONE,""
281,1,NONE,""
282,1,NONE,""
283,1,NONE,""
284,1,NONE,""
285,1,NONE,""
286,1,LCFS,"|145|"
287,1,LCFS,"|146|"
288,1,NONE,""
289,1,NONE,""
290,1,NONE,""
291,1,NONE,""
292,1,LCFS,"|147|"
293,1,NONE,""
294,1,LCFS,"|148|"
295,1,LCFS,"|149|"
296,1,NONE,""
297,1,LCFS,"|150|"
298,1,LCFS,"|151|"
299,1,NONE,""
300,1,LCFS,"|152|"
301,1,LCFS,"|153|"
302,1,LCFS,"|154|"
303,1,NONE,""
304,1,NONE,""
305,1,LCFS,"|155|"
306,1,NONE,""
307,1,LCFS,"|156|"
308,1,NONE,""
309,1,NONE,""
310,1,LCFS,"|157|"
311,1,LCFS,"|158|"
312,1,NONE,""
313,1,NONE,""
314,1,NONE,""
315,1,LCFS,"|159|"
316,1,NONE,""
317,1,NONE,""
318,1,NONE,""
319,1,LCFS,"|160|"
320,1,LCFS,"|161|"
321,1,LCFS,"|162|"
322,1,NONE,""
323,1,NONE,""
324,1,LCFS,"|163|"
325,1,NONE,""
326,1,LCFS,"|164|"
327,1,NONE,""
328,1,LCFS,"|165|"
329,1,NONE,""
330,1,LCFS,"|166|"
331,1,LCFS,"|167|"
332,1,NONE,""
333,1,LCFS,"|168|"
334,1,NONE,""
335,1,LCFS,"|169|"
336,1,NONE,""
337,1,LCFS,"|170|"
338,1,NONE,""
339,1,LCFS,"|171|"
340,1,NONE,""
341,1,NONE,""
342,1,NONE,""
343,1,LCFS,"|172|"
344,1,LCFS,"|173|"
345,1,LCFS,"|174|"
346,1,NONE,""
347,1,NONE,""
348,1,LCFS,"|175|"
349,1,LCFS,"|176|"
350,1,NONE,""
351,1,NONE,""
352,1,NONE,""
353,1,LCFS,"|177|"
354,1,NONE,""
355,1,LCFS,"|178|"
356,1,LCFS,"|179|"
357,1,LCFS,"|180|"
358,1,NONE,""
359,1,NONE,""
360,1,LCFS,"|181|"
361,1,LCFS,"|182|"
362,1,NONE,""
363,1,LCFS,"|183|"
364,1,NONE,""
365,1,LCFS,"|184|"
366,1,NONE,""
367,1,NONE,""
368,1,NONE,""
369,1,LCFS,"|185|"
370,1,LCFS,"|186|"
371,1,NONE,""
372,1,LCFS,"|187|"
373,1,NONE,""
374,1,LCFS,"|188|"
375,1,LCFS,"|189|"
376,1,NONE,""
377,1,LCFS,"|190|"
378,1,LCFS,"|191|"
379,1,NONE,""
380,1,NONE,""
381,1,NONE,""
382,1,LCFS,"|192|"
383,1,NONE,""
384,1,NONE,""
385,1,LCFS,"|193|"
386,1,LCFS,"|194|"
387,1,NONE,""
388,1,LCFS,"|195|"
389,1,NONE,""
390,1,NONE,""
391,1,LCFS,"|196|"
392,1,LCFS,"|197|"
393,1,NONE,""
394,1,NONE,""
395,1,LCFS,"|198|"
396,1,LCFS,"|199|"
397,1,LCFS,"|200|"
398,1,LCFS,"|201|"
399,1,LCFS,"|202|"
400,1,LCFS,"|203|"
401,1,LCFS,"|204|"
402,1,LCFS,"|205|"
403,1,LCFS,"|206|"
404,1,LCFS,"|207|"
405,1,LCFS,"|208|"
406,1,LCFS,"|209|"
407,1,LCFS,"|210|"
408,1,LCFS,"|211|"
409,1,LCFS,"|212|"
410,1,LCFS,"|213|"
411,1,NONE,""
412,1,LCFS,"|214|"
413,1,NONE,""
414,1,LCFS,"|215|"
415,1,LCFS,"|216|"
416,1,NONE,""
417,1,NONE,""
418,1,NONE,""
419,1,LCFS,"|217|"
420,1,NONE,""
421,1,NONE,""
422,1,NONE,""
423,1,LCFS,"|218|"
424,1,NONE,""
425,1,NONE,""
426,1,NONE,""
427,1,NONE,""
428,1,LCFS,"|219|"
429,1,NONE,""
430,1,NONE,""
431,1,NONE,""
432,1,NONE,""
433,1,LCFS,"|220|"
434,1,NONE,""
435,1,NONE,""
436,1,NONE,""
437,1,LCFS,"|221|"
438,1,NONE,""
439,1,NONE,""
440,1,NONE,""
441,1,LCFS,"|222|"
442,1,NONE,""
443,1,LCFS,"|223|"
444,1,NONE,""
445,1,LCFS,"|224|"
446,1,NONE,""
447,1,NONE,""
448,1,LCFS,"|225|"
449,1,NONE,""
450,1,NONE,""
451,1,LCFS,"|226|"
452,1,NONE,""
453,1,LCFS,"|227|"
454,1,NONE,""
455,1,LCFS,"|228|"
456,1,NONE,""
457,1,LCFS,"|229|"
458,1,NONE,""
459,1,LCFS,"|230|"
460,1,NONE,""
461,1,LCFS,"|231|"
462,1,NONE,""
463,1,LCFS,"|232|"
464,1,NONE,""
465,1,LCFS,"|233|"
466,1,NONE,""
467,1,LCFS,"|234|"
468,1,LCFS,"|235|"
469,1,NONE,""
470,1,LCFS,"|236|"
471,1,NONE,""
