cycle,root_branching_factor,selected_policy,possible_job_sets
1,1,WFP,"|0|"
2,1,WFP,"|1|"
3,1,WFP,"|2|"
4,1,NONE,""
5,1,NONE,""
6,1,NONE,""
7,1,WFP,"|3|"
8,1,NONE,""
9,1,WFP,"|4|"
10,1,WFP,"|5|"
11,1,NONE,""
12,1,NONE,""
13,1,WFP,"|6|"
14,1,WFP,"|7|"
15,1,NONE,""
16,1,WFP,"|8|"
17,1,NONE,""
18,1,WFP,"|9|"
19,1,WFP,"|10|"
20,1,WFP,"|11|"
21,1,WFP,"|12|"
22,1,WFP,"|13|"
23,1,WFP,"|14|"
24,1,WFP,"|15|"
25,1,WFP,"|16|"
26,1,WFP,"|17|"
27,1,WFP,"|18|"
28,1,WFP,"|19|"
29,1,WFP,"|20|"
30,1,WFP,"|21|"
31,1,NONE,""
32,1,WFP,"|22|"
33,1,NONE,""
34,1,NONE,""
35,1,WFP,"|23|"
36,1,NONE,""
37,1,WFP,"|24|"
38,1,NONE,""
39,1,WFP,"|25|"
40,1,DRAIN,"|26|"
41,1,WFP,"|26|"
42,1,NONE,""
43,1,NONE,""
44,1,NONE,""
45,1,NONE,""
46,1,NONE,""
47,1,NONE,""
48,1,NONE,""
49,1,NONE,""
50,1,NONE,""
51,1,NONE,""
52,1,WFP,"|27|"
53,1,NONE,""
54,1,WFP,"|28|"
55,1,NONE,""
56,1,WFP,"|29|"
57,1,NONE,""
58,1,WFP,"|30|"
59,1,WFP,"|31|"
60,1,NONE,""
61,1,WFP,"|32|"
62,1,NONE,""
63,1,WFP,"|33|"
64,1,WFP,"|34|"
65,1,WFP,"|35|"
66,1,WFP,"|36|"
67,1,NONE,""
68,1,NONE,""
69,1,WFP,"|37|"
70,1,WFP,"|38|"
71,1,NONE,""
72,1,WFP,"|39|"
73,1,DRAIN,"|40|"
74,1,WFP,"|40|"
75,1,NONE,""
76,1,NONE,""
77,1,NONE,""
78,1,WFP,"|41|"
79,1,WFP,"|42|"
80,1,WFP,"|43|"
81,1,NONE,""
82,1,WFP,"|44|"
83,1,NONE,""
84,1,NONE,""
85,1,WFP,"|45|"
86,1,NONE,""
87,1,WFP,"|46|"
88,1,WFP,"|47|"
89,1,NONE,""
90,1,NONE,""
91,1,NONE,""
92,1,NONE,""
93,1,NONE,""
94,1,NONE,""
