tag,jobs_completed,makespan_s,wait_avg,wait_min,wait_p25,wait_p50,wait_p75,wait_p80,wait_p90,wait_p95,wait_p99,wait_max,bsld_avg,bsld_min,bsld_p25,bsld_p50,bsld_p75,bsld_p80,bsld_p90,bsld_p95,bsld_p99,bsld_max,total_util
FCFS,52616,37604335,53993.02,0.00,0.00,12481.00,62239.00,82082.00,179592.50,254251.50,390469.45,1538336.00,8.19,1.00,1.00,2.64,8.01,10.07,16.62,26.74,93.65,2142.48,0.7654
SJF-w2,52616,37600805,49371.02,0.00,0.00,10810.00,56423.25,74054.00,160469.00,222328.00,396857.10,1628697.00,7.50,1.00,1.00,2.41,7.31,9.04,15.56,25.15,82.69,1842.72,0.7654
SJF-w4,52616,37621110,44665.68,0.00,0.00,10608.00,45304.75,64991.00,132564.00,217296.00,364864.90,1673306.00,6.77,1.00,1.00,2.27,6.58,8.41,13.55,22.28,67.53,1334.40,0.7650
SJF-w8,52616,37655192,39904.25,0.00,0.00,8572.00,41255.75,56993.00,117107.50,178069.75,395104.15,1666795.00,6.28,1.00,1.00,1.99,5.71,7.08,12.66,24.62,61.60,1157.96,0.7643
SJF-w16,52616,37624519,36751.01,0.00,0.00,6198.50,32358.25,44320.00,107845.50,172620.00,377900.20,1895139.00,5.03,1.00,1.00,1.78,4.89,6.23,9.93,15.63,50.03,633.97,0.7650
SJF-w32,52616,37650167,32295.50,0.00,0.00,3599.00,21517.75,30309.00,73893.00,153114.00,456101.95,2006461.00,3.78,1.00,1.00,1.49,3.52,4.42,7.92,11.87,30.46,574.35,0.7644
SJF-w64,52616,37650521,26132.01,0.00,0.00,2239.00,14684.00,21351.00,46215.00,85732.75,403847.75,4850170.00,2.74,1.00,1.00,1.29,2.56,3.16,5.26,8.12,20.80,358.35,0.7644
SJF-w128,52616,37650521,25218.39,0.00,0.00,1668.50,12104.00,16996.00,39605.00,72499.00,427958.95,5308293.00,2.46,1.00,1.00,1.21,2.28,2.80,4.57,7.18,19.16,127.61,0.7644
SJF-w256,52616,37650521,25226.12,0.00,0.00,1617.50,11460.75,16562.00,38302.50,74793.00,474397.40,4422151.00,2.37,1.00,1.00,1.20,2.24,2.68,4.60,6.59,19.27,144.46,0.7644
SJF-w512,52616,37650521,26143.02,0.00,0.00,1526.00,11460.50,16491.00,39901.00,76513.25,454471.75,4436159.00,2.35,1.00,1.00,1.18,2.27,2.74,4.58,6.71,17.18,144.46,0.7644
SJF-w1024,52616,37650521,26143.02,0.00,0.00,1526.00,11460.50,16491.00,39901.00,76513.25,454471.75,4436159.00,2.35,1.00,1.00,1.18,2.27,2.74,4.58,6.71,17.18,144.46,0.7644
LJF-w2,52616,37609737,52796.29,0.00,0.00,12159.50,59981.75,80813.00,172823.50,248965.00,383301.30,2644755.00,8.14,1.00,1.00,2.57,7.85,9.93,15.90,26.00,89.36,2161.72,0.7653
LJF-w4,52616,37596218,50821.68,0.00,0.00,10885.50,53733.00,74517.00,161103.00,247639.50,402888.10,2992175.00,8.24,1.00,1.00,2.42,7.18,9.24,15.84,27.09,90.93,1380.32,0.7655
LJF-w8,52616,37594123,50921.05,0.00,0.00,10612.50,54431.25,77076.00,157777.00,239530.25,421499.95,3764151.00,8.62,1.00,1.00,2.34,6.76,8.64,15.56,29.11,98.34,2109.74,0.7656
LJF-w16,52616,37560167,51599.30,0.00,0.00,10439.00,54797.25,73631.00,159774.00,241425.00,415744.65,3776477.00,9.56,1.00,1.00,2.37,7.07,9.22,17.16,33.08,108.38,1996.56,0.7663
LJF-w32,52616,37546356,53496.24,0.00,0.00,9357.50,55615.25,77064.00,157701.50,240686.50,483828.10,4264687.00,10.12,1.00,1.00,2.17,6.89,9.02,17.60,33.59,128.02,1950.52,0.7666
LJF-w64,52616,37554136,56036.39,0.00,0.00,8829.50,52597.50,74900.00,153837.50,248194.00,574079.80,3776328.00,11.51,1.00,1.00,2.09,6.73,8.72,18.41,35.00,145.87,1995.96,0.7664
LJF-w128,52616,37553644,63423.73,0.00,0.00,9563.00,54319.25,75720.00,177794.50,279310.75,686626.50,3763584.00,13.98,1.00,1.00,2.11,7.50,9.76,19.49,41.89,177.41,2198.99,0.7664
LJF-w256,52616,37555473,73188.49,0.00,0.00,9280.00,57116.00,77104.00,172807.00,304125.25,848253.05,3740995.00,17.81,1.00,1.00,2.06,7.57,10.37,24.41,56.59,240.62,2079.33,0.7664
LJF-w512,52616,37555473,80176.93,0.00,0.00,9537.50,61830.25,90037.00,185419.00,316123.25,906913.50,3938725.00,21.04,1.00,1.00,2.00,8.24,10.94,29.18,86.28,265.48,2713.80,0.7664
LJF-w1024,52616,37555473,76575.05,0.00,0.00,9269.50,53812.75,74091.00,174967.50,305410.00,958581.00,3918665.00,19.49,1.00,1.00,1.96,7.76,10.52,26.28,60.05,269.70,2224.72,0.7664
SRF-w2,52616,37611467,48436.68,0.00,0.00,12226.00,50858.00,68282.00,153187.00,244781.75,363195.15,2545467.00,7.82,1.00,1.00,2.50,6.92,9.49,16.00,25.69,87.10,1370.00,0.7652
SRF-w4,52616,37610778,42368.63,0.00,0.00,9651.50,46410.50,62485.00,123062.00,213652.00,335512.10,3116833.00,7.16,1.00,1.00,2.10,6.18,7.95,13.86,22.55,79.20,1732.57,0.7652
SRF-w8,52616,37647266,36570.50,0.00,0.00,6714.50,35972.25,48167.00,100127.00,183525.00,322243.35,3436048.00,6.51,1.00,1.00,1.77,4.86,6.26,12.39,21.36,74.12,1749.61,0.7645
SRF-w16,52616,37671267,31493.05,0.00,0.00,4031.00,27372.25,38264.00,82185.50,139074.25,309289.55,3509421.00,6.26,1.00,1.00,1.44,4.18,5.54,10.80,19.25,73.97,1773.61,0.7640
SRF-w32,52616,37644016,27975.83,0.00,0.00,2716.00,17510.00,24772.00,62039.00,120849.25,363108.75,3616225.00,5.94,1.00,1.00,1.27,3.22,4.33,8.42,15.38,82.62,1836.00,0.7646
SRF-w64,52616,37644281,25257.89,0.00,0.00,1749.50,12231.00,17166.00,45212.50,91635.50,444040.90,3969987.00,5.62,1.00,1.00,1.17,2.36,3.05,6.28,11.93,72.20,2049.50,0.7646
SRF-w128,52616,37644281,24019.38,0.00,0.00,1169.50,10646.00,14471.00,37088.50,72053.00,488839.60,3970909.00,5.47,1.00,1.00,1.12,2.12,2.76,5.46,9.99,72.04,2049.50,0.7646
SRF-w256,52616,37644281,23898.11,0.00,0.00,797.00,9604.50,13022.00,31943.50,63249.00,505224.20,4065168.00,5.49,1.00,1.00,1.09,1.96,2.31,4.43,8.43,72.46,2198.52,0.7646
SRF-w512,52616,37644281,23903.80,0.00,0.00,794.00,9604.00,13069.00,32304.00,63224.50,505224.20,4065168.00,5.49,1.00,1.00,1.09,1.96,2.32,4.42,8.45,72.46,2198.52,0.7646
SRF-w1024,52616,37644281,23903.80,0.00,0.00,794.00,9604.00,13069.00,32304.00,63224.50,505224.20,4065168.00,5.49,1.00,1.00,1.09,1.96,2.32,4.42,8.45,72.46,2198.52,0.7646
LRF-w2,52616,37609761,50712.45,0.00,0.00,10209.00,57574.25,80339.00,162564.00,238994.00,404234.20,1526639.00,7.71,1.00,1.00,2.36,6.92,8.86,14.96,25.22,87.40,2160.57,0.7653
